せ	
あ	EVENT class="STATE" eid="e62"
る	
。	
（	
野	
）	
浅	
野	
温	
子	
　	
後	
藤	
真	
希	
映	
画	
ア	
ー	
バ	
ン	
・	
カ	
ウ	
ボ	
ー	
イ	
（	
東	
京	
＝	
後	TIMEX3 tid="t7" value="2001-07-11T13:30" definite="FALSE" valueFromSurface="XXXX-XX-XXT13" type="TIME"
１	
・	
３	
０	
）	
　	
８	TIMEX3 tid="t8" value="1980" definite="FALSE" valueFromSurface="XX80" type="DATE"
０	
年	
ア	
メ	
リ	
カ	
。	
ジ	
ョ	
ン	
・	
ト	
ラ	
ボ	
ル	
タ	
。	
西	
部	
開	
拓	
期	
の	
薫	
り	
を	
残	EVENT class="OCCURRENCE" eid="e63"
す	
近	
代	
都	
市	
テ	
キ	
サ	
ス	
州	
ヒ	
ュ	
ー	
ス	
ト	
ン	
を	
舞	
台	
に	
、	
１	
組	
の	
若	EVENT class="NULL" eid="e64"
い	
夫	
婦	
が	
愛	
憎	
の	
果	
て	
に	
再	
び	
結	EVENT class="OCCURRENCE" eid="e65"
ば	
れ	
る	
ま	
で	
を	
描	EVENT class="I_ACTION" eid="e66"
く	
。	
ジ	
ェ	
ー	
ム	
ズ	
・	
ブ	
リ	
ッ	
ジ	
ス	
監	
督	
。	
　	
（	
）	
Ｂ	
Ｓ	
‐	
ｉ	
Ｒ	
Ｏ	
Ｃ	
Ｋ	
の	
要	
！	
（	
後	TIMEX3 tid="t9" value="2001-07-11T23:00" definite="FALSE" valueFromSurface="XXXX-XX-XXT23:00" type="TIME"
１	
１	
・	
０	
）	
　	
根	
本	
要	
が	
ビ	
デ	
オ	
ジ	
ョ	
ッ	
キ	
ー	
を	
務	EVENT class="NULL" eid="e67"
め	
、	
１	TIMEX3 tid="t10" value="196X" definite="FALSE" mod="END" valueFromSurface="196X" type="DATE"
９	
６	
０	
年	
代	
後	
半	
か	
ら	
８	TIMEX3 tid="t11" value="198X" definite="FALSE" mod="START" valueFromSurface="198X" type="DATE"
０	
年	
代	
前	
半	
の	
ロ	
ッ	
ク	
を	
届	EVENT class="OCCURRENCE" eid="e68"
け	
る	
。	
曲	
は	
エ	
ア	
ロ	
ス	
ミ	
ス	
の	
「	
カ	
ム	
・	
ト	
ゥ	
ゲ	
ザ	
ー	
」	
、	
ア	
イ	
ク	
＆	
テ	
ィ	
ナ	
・	
タ	
ー	
ナ	
ー	
の	
「	
ゲ	
ッ	
ト	
・	
バ	
ッ	
ク	
」	
な	
ど	
を	
お	EVENT class="OCCURRENCE" eid="e69"
く	
る	
。	
精	
神	
病	
院	
の	
強	
制	
入	
院	
退	
院	
請	
求	
の	
審	
査	
に	
格	
差	
厚	
労	
省	
研	
究	
班	
　	
第	
三	
者	
評	
価	
提	
言	
へ	
徳	
島	
県	
０	
件	
患	
者	
１	
０	
０	
０	
人	
当	
た	
り	
