師	
食	EVENT eid="e43" class="NULL"
べ	
過	
ぎ	
て	
し	
ま	
う	
こ	
の	
季	
節	
、	
ひ	EVENT eid="e44" class="NULL"
そ	
か	
に	
１	
人	
で	
頑	EVENT eid="e45" class="OCCURRENCE"
張	
り	
、	
年	TIMEX3 valueFromSurface="XXXX" tid="t7" definite="TRUE" type="DATE" value="XXXX" mod="START"
明	
け	
に	
す	EVENT eid="e46" class="NULL"
っ	
き	
り	
し	
た	
姿	
で	
再	EVENT eid="e47" class="OCCURRENCE"
会	
す	
る	
と	
い	
う	
の	
は	
い	EVENT eid="e48" class="NULL"
い	
で	
す	
ね	
」	
　	
周	
り	
を	
気	
に	
せ	EVENT eid="e49" class="OCCURRENCE"
ず	
何	
か	
に	
没	EVENT eid="e50" class="OCCURRENCE"
頭	
で	
き	
る	
と	
い	
う	
点	
で	
は	
、	
好	EVENT eid="e51" class="NULL"
き	
な	
本	
や	
映	
画	
の	
ビ	
デ	
オ	
、	
Ｄ	
Ｖ	
Ｄ	
に	
浸	EVENT eid="e52" class="OCCURRENCE"
っ	
て	
み	
る	
の	
も	
一	
興	
。	
「	
寝	
食	
を	
忘	EVENT eid="e53" class="I_ACTION"
れ	
て	
、	
長	
編	
や	
全	
集	
物	
の	
一	
気	
読	
み	
が	
で	EVENT eid="e54" class="I_STATE"
き	
ま	
す	
ね	
」	
　	
岸	
本	
さ	
ん	
は	
「	
１	
人	
暮	
ら	
し	
で	
も	
改	EVENT eid="e55" class="OCCURRENCE"
ま	
っ	
た	
気	
分	
を	
大	EVENT eid="e56" class="NULL"
切	
に	
し	EVENT eid="e57" class="OCCURRENCE"
た	
い	
」	
と	
い	EVENT eid="e58" class="REPORTING"
う	
。	
１	TIMEX3 valueFromSurface="XXXX-12-1J" tid="t8" definite="FALSE" type="DATE" value="2003-12-1J"
２	
月	
上	
旬	
に	
買	EVENT eid="e59" class="OCCURRENCE"
っ	
た	
白	
の	
ニ	
ッ	
ト	
ジ	
ャ	
ケ	
ッ	
ト	
は	
、	
新	TIMEX3 type="DATE" value="2004" valueFromSurface="XXXX" mod="START"
年	
に	
袖	
を	
通	EVENT eid="e60" class="OCCURRENCE"
そ	
う	
と	
楽	
し	
み	
に	
取	EVENT eid="e61" class="I_ACTION"
っ	
て	
あ	
る	
。	
「	
１	
人	
だ	
か	
ら	
こ	
そ	
節	
目	
を	
意	EVENT eid="e62" class="OCCURRENCE"
識	
し	
、	
暮	
ら	
し	
に	
メ	
リ	
ハ	
リ	
を	
つ	EVENT eid="e63" class="OCCURRENCE"
け	
て	
過	EVENT eid="e64" class="OCCURRENCE"
ご	
し	
た	
い	
」	
時	
間	
の	
流	
れ	
を	
豪	EVENT eid="e65" class="NULL"
華	
に	
楽	EVENT eid="e66" class="OCCURRENCE"
し	
む	
野	
田	
幹	
子	
さ	
ん	
◇	
飾	EVENT eid="e67" class="OCCURRENCE"
っ	
て	
、	
食	EVENT eid="e68" class="OCCURRENCE"
べ	
て	
　	
シ	
ン	
ガ	
ー	
・	
ソ	
ン	
グ	
ラ	
イ	
タ	
ー	
の	
野	
田	
幹	
子	
さ	
ん	
（	
３	TIMEX3 valueFromSurface="P38Y" tid="t9" definite="FALSE" type="DURATION" value="P38Y"
８	
）	
も	
１	
人	
暮	
ら	
し	
。	
「	
お	TIMEX3 valueFromSurface="XXXX-01" tid="t10" definite="TRUE" type="DATE" value="XXXX-01" general="TRUE"
正	
月	
は	
時	
間	
が	
ゆ	
っ	
く	
り	
過	EVENT eid="e69" class="OCCURRENCE"
ぎ	
る	
。	
旅	
先	
で	
も	
自	
宅	
で	
も	
、	
そ	
ん	
な	
時	
の	
流	
れ	
を	
楽	EVENT eid="e70" class="I_ACTION"
し	
ま	
な	
く	
て	
は	
」	
　	
ソ	
ム	
リ	
エ	
の	
資	
格	
を	
も	EVENT eid="e71" class="OCCURRENCE"
つ	
野	
田	
さ	
ん	
は	
、	
自	
分	
の	
た	
め	
の	
「	
お	TIMEX3 valueFromSurface="XXXX-01" tid="t11" definite="TRUE" type="DATE" value="XXXX-01" general="TRUE"
正	
月	
ワ	
イ	
ン	
」	
を	
準	EVENT eid="e72" class="OCCURRENCE"
備	
す	
る	
の	
を	
習	
慣	
に	
し	EVENT eid="e73" class="I_ACTION"
て	
い	
る	
。	
ワ	
イ	
ン	
を	
味	EVENT eid="e74" class="OCCURRENCE"
わ	
う	
時	
は	
、	
正	TIMEX3 valueFromSurface="XXXX-01" tid="t12" definite="TRUE" type="DATE" value="XXXX-01" general="TRUE"
月	
用	
リ	
ー	
ス	
を	
飾	EVENT eid="e75" class="OCCURRENCE"
っ	
た	
り	
、	
キ	
ャ	
ン	
ド	
ル	
を	
と	EVENT eid="e76" class="OCCURRENCE"
も	
し	
た	
り	
し	EVENT eid="e77" class="I_ACTION"
て	
部	
屋	
の	
雰	
囲	
気	
を	
調	EVENT eid="e78" class="OCCURRENCE"
え	
る	
。	
　	
昨	TIMEX3 valueFromSurface="XXXX-12" tid="t13" definite="FALSE" type="DATE" value="2002-12" mod="END"
年	
末	
は	
原	
稿	
の	
締	
め	
切	
り	
が	
迫	EVENT eid="e79" class="OCCURRENCE"
っ	
て	
い	
た	
た	
め	
、	
ど	
こ	
に	
も	
出	EVENT eid="e80" class="OCCURRENCE"
か	
け	
ら	
れ	
な	
か	
っ	
た	
が	
、	
そ	
の	
状	
況	
を	
楽	EVENT eid="e81" class="OCCURRENCE"
し	
ん	
で	
し	
ま	
お	
う	
と	
、	
な	
じ	
み	
の	
す	
し	
店	
で	
豪	
華	
お	
せ	
ち	
を	
注	EVENT eid="e82" class="OCCURRENCE"
文	
し	
た	
。	
カ	
ラ	
ス	
ミ	
、	
タ	
イ	
の	
一	
夜	
干	
し	
、	
フ	
ォ	
ア	
グ	
ラ	
の	
み	
そ	
漬	
け	
…	
。	
「	
ワ	
イ	
ン	
だ	
け	
で	
な	
く	
、	
シ	
ャ	
ン	
パ	
ン	
や	
日	
本	
酒	
も	
用	EVENT eid="e83" class="OCCURRENCE"
意	
し	
て	
楽	EVENT eid="e84" class="OCCURRENCE"
し	
み	
ま	
し	
た	
」	
と	
笑	EVENT eid="e85" class="I_ACTION"
う	
。	
　	
野	
田	
さ	
ん	
流	
の	
楽	
し	
み	
方	
を	
試	EVENT eid="e86" class="OCCURRENCE"
し	
た	
い	
人	
に	
は	
、	
少	
人	
数	
向	
け	
の	
お	
せ	
ち	
セ	
ッ	
ト	
や	
、	
小	EVENT eid="e87" class="NULL"
ぶ	
り	
の	
正	TIMEX3 valueFromSurface="XXXX-01" tid="t14" definite="TRUE" type="DATE" value="XXXX-01" general="TRUE"
月	
用	
リ	
ー	
ス	
が	
お	EVENT eid="e88" class="NULL"
薦	
め	
だ	
。	
　	
日	
本	
橋	
高	
島	
屋	
に	
よ	
る	
と	
、	
３	TIMEX3 valueFromSurface="Q-3Y" tid="t15" definite="FALSE" type="DATE" value="2000"
年	
前	
か	
ら	
１	
〜	
２	
人	
用	
の	
「	
ミ	
ニ	
お	
せ	
ち	
」	
を	
販	EVENT eid="e89" class="OCCURRENCE"
売	
し	
て	
い	
る	
が	
、	
人	
気	
は	
年	TIMEX3 type="SET" value="P1Y" valueFromSurface="P1Y" quant="EACH"
々	
高	EVENT eid="e90" class="OCCURRENCE"
ま	
る	
一	
方	
。	
価	
格	
は	
１	
万	
円	
前	
後	
で	
、	
「	
い	
つ	
も	
は	
ぜ	EVENT eid="e91" class="OCCURRENCE"
い	
た	
く	
で	
き	
な	
い	
け	
れ	
ど	
、	
お	TIMEX3 valueFromSurface="XXXX-01" tid="t16" definite="TRUE" type="DATE" value="XXXX-01"
正	
月	
く	
ら	
い	
、	
と	
い	
う	
方	
が	
多	EVENT eid="e92" class="NULL"
い	
よ	
う	
で	
す	
」	
。	
　	
手	EVENT eid="e93" class="NULL"
軽	
に	
玄	
関	
や	
室	
内	
に	
掛	EVENT eid="e94" class="NULL"
け	
ら	
れ	
る	
リ	
ー	
ス	
は	
、	
手	EVENT eid="e95" class="NULL"
軽	
に	
お	TIMEX3 valueFromSurface="XXXX-01" type="DATE" value="XXXX-01"
正	
月	
気	
分	
が	
演	EVENT eid="e96" class="OCCURRENCE"
出	
で	
き	
る	
。	
こ	
こ	
数	TIMEX3 valueFromSurface="PXY" tid="t17" definite="TRUE" type="DURATION" value="PXY"
年	
で	
「	
ク	
リ	
ス	
マ	
ス	
リ	
ー	
ス	
の	
次	
は	
、	
正	TIMEX3 valueFromSurface="XXXX-01" tid="t18" definite="TRUE" type="DATE" value="XXXX-01"
月	
用	
の	
リ	
ー	
ス	
」	
と	
い	
う	
ふ	
う	
に	
定	EVENT eid="e97" class="OCCURRENCE"
着	
し	
て	
き	
た	
と	
い	EVENT eid="e98" class="REPORTING"
う	
。	
え	
と	
に	
ち	EVENT eid="e99" class="NULL"
な	
ん	
だ	
置	
物	
や	
ミ	
ニ	
門	
松	
な	
ど	
も	
、	
１	
人	
暮	
ら	
し	
の	
部	
屋	
を	
楽	EVENT eid="e100" class="NULL"
し	
く	
し	EVENT eid="e101" class="OCCURRENCE"
て	
く	
れ	
そ	
う	
だ	
。	
小	
さ	
な	
門	
松	
や	
紅	
白	
の	
鶴	
の	
置	
物	
が	
お	TIMEX3 valueFromSurface="XXXX-01" tid="t19" definite="TRUE" type="DATE" value="XXXX-01" general="TRUE"
正	
月	
気	
分	
を	
盛	EVENT eid="e102" class="OCCURRENCE"
り	
上	
げ	
る	
＝	
東	
京	
都	
中	
央	
区	
の	
日	
本	
橋	
高	
島	
屋	
で	
食	
卓	
の	
一	
品	
レ	
ン	
コ	
ン	
の	
は	
さ	
み	
揚	
げ	
料	
理	
研	
究	
家	
赤	
堀	
　	
博	
美	
　	
ハ	
ム	
よ	
り	
直	
径	
が	
小	EVENT eid="e103" class="NULL"
さ	
め	
で	
食	
感	
の	
軟	EVENT eid="e104" class="NULL"
ら	
か	
い	
、	
ソ	
ー	
セ	
ー	
ジ	
を	
は	EVENT eid="e105" class="OCCURRENCE"
さ	
ん	
で	
あ	EVENT eid="e106" class="OCCURRENCE"
げ	
ま	
す	
。	
コ	
ン	
ビ	
ー	
フ	
缶	
な	
ど	
で	
も	
よ	EVENT eid="e107" class="NULL"
い	
で	
し	
ょ	
う	
。	
お	TIMEX3 valueFromSurface="XXXX-01" tid="t20" definite="TRUE" type="DATE" value="XXXX-01" general="TRUE"
正	
月	
の	
一	
品	
に	
も	
な	EVENT eid="e108" class="OCCURRENCE"
り	
ま	
す	
。	
