Ａ	
す	
る	
―	
。	
こ	
の	
姿	
勢	
が	
公	
共	
の	
場	
に	
置	EVENT eid="e30" class="OCCURRENCE"
か	
れ	
る	
作	
品	
に	
は	
必	EVENT eid="e31" class="NULL"
要	
で	
は	
な	
い	
で	
し	
ょ	
う	
か	
。	
ア	
ー	
テ	
ィ	
ス	
ト	
だ	
け	
が	
表	
現	
者	
で	
は	
な	
い	
で	
し	
ょ	
う	
。	
　	
香	
川	
の	
直	
島	
で	
一	TIMEX3 type="DATE" tid="t1" valueFromSurface="1998" value="1998" definite="FALSE"
九	
九	
八	
年	
、	
築	
二	TIMEX3 type="DURATION" tid="t2" valueFromSurface="P250Y" value="P250Y" definite="FALSE"
百	
五	
十	
年	
の	
民	
家	
の	
中	
に	
プ	
ー	
ル	
を	
作	EVENT eid="e32" class="OCCURRENCE"
り	
ま	
し	
た	
。	
水	
中	
に	
、	
島	
の	
お	
年	
寄	
り	
百	
二	
十	
五	
人	
が	
速	
度	
を	
設	EVENT eid="e33" class="OCCURRENCE"
定	
し	
た	
デ	
ジ	
タ	
ル	
カ	
ウ	
ン	
タ	
ー	
を	
設	EVENT eid="e34" class="OCCURRENCE"
け	
た	
の	
で	
す	
。	
　	
す	
る	
と	
、	
そ	
れ	
ま	
で	
現	
代	
美	
術	
に	
ほ	
と	
ん	
ど	
縁	
が	
な	EVENT eid="e35" class="NULL"
か	
っ	
た	
お	
年	
寄	
り	
と	
訪	EVENT eid="e36" class="OCCURRENCE"
れ	
た	
若	EVENT eid="e37" class="NULL"
い	
客	
と	
の	
間	
に	
、	
く	EVENT eid="e38" class="OCCURRENCE"
つ	
ろ	
い	
だ	
雰	
囲	
気	
の	
会	
話	
が	
始	EVENT eid="e39" class="ASPECTUAL"
ま	
り	
ま	
し	
た	
。	
ア	
ー	
ト	
作	
品	
は	
国	
境	
や	
人	
種	
、	
民	
族	
、	
文	
化	
の	
違	
い	
を	
超	EVENT eid="e40" class="I_ACTION"
え	
て	
交	EVENT eid="e41" class="OCCURRENCE"
流	
し	
、	
美	EVENT eid="e42" class="NULL"
し	
い	
ハ	
ー	
モ	
ニ	
ー	
が	
図	EVENT eid="e43" class="I_ACTION"
れ	
る	
道	
具	
の	
一	
つ	
だ	
と	
考	EVENT eid="e44" class="I_STATE"
え	
て	
い	
ま	
す	
。	
　	
数	
字	
を	
使	EVENT eid="e45" class="OCCURRENCE"
う	
の	
は	
世	EVENT eid="e46" class="NULL"
界	
共	
通	
の	
も	
の	
だ	
か	
ら	
。	
そ	
こ	
に	
「	
そ	
れ	
は	
変	EVENT eid="e47" class="OCCURRENCE"
化	
し	
続	
け	
る	
」	
「	
そ	
れ	
は	
永	
遠	
に	
続	EVENT eid="e48" class="OCCURRENCE"
く	
」	
「	
そ	
れ	
は	
あ	
ら	
ゆ	
る	
も	
の	
と	
関	
係	
を	
結	EVENT eid="e49" class="I_ACTION"
ぶ	
」	
と	
い	
う	
僕	
な	
り	
の	
三	
つ	
の	
コ	
ン	
セ	
プ	
ト	
を	
込	EVENT eid="e50" class="OCCURRENCE"
め	
て	
あ	
り	
ま	
す	
。	
輪	
廻	
転	
生	
　	
数	
字	
を	
カ	EVENT eid="e51" class="OCCURRENCE"
ウ	
ン	
ト	
す	
る	
こ	
と	
に	
よ	
っ	
て	
「	
輪	
廻	
転	
生	
」	
を	
表	EVENT eid="e52" class="I_ACTION"
現	
し	
て	
い	
ま	
す	
。	
使	EVENT eid="e53" class="OCCURRENCE"
う	
数	
字	
は	
１	
か	
ら	
９	
ま	
で	
。	
０	
を	
使	EVENT eid="e54" class="OCCURRENCE"
わ	
な	
い	
の	
は	
、	
「	
死	
」	
の	
イ	
メ	
ー	
ジ	
が	
漂	EVENT eid="e55" class="OCCURRENCE"
っ	
て	
い	
る	
よ	
う	
に	
思	EVENT eid="e56" class="I_STATE"
う	
か	
ら	
。	
　	
現	
代	
美	
術	
は	
難	EVENT eid="e57" class="NULL"
し	
い	
と	
よ	
く	
言	EVENT eid="e58" class="REPORTING"
わ	
れ	
ま	
す	
ね	
。	
だ	
け	
ど	
理	EVENT eid="e59" class="OCCURRENCE"
解	
し	
よ	
う	
と	
か	
、	
分	EVENT eid="e60" class="OCCURRENCE"
か	
ろ	
う	
と	
か	
、	
考	EVENT eid="e61" class="I_STATE"
え	
な	
く	
て	
も	
い	
い	
と	
思	EVENT eid="e62" class="I_STATE"
う	
。	
不	EVENT eid="e63" class="NULL"
可	
解	
な	
部	
分	
が	
あ	EVENT eid="e64" class="STATE"
っ	
て	
い	EVENT eid="e65" class="NULL"
い	
。	
何	
だ	
か	
わ	
け	
が	
分	EVENT eid="e66" class="OCCURRENCE"
か	
ら	
な	
い	
、	
だ	
け	
ど	
好	EVENT eid="e67" class="NULL"
き	
。	
そ	
れ	
で	
い	EVENT eid="e68" class="NULL"
い	
ん	
で	
す	
。	
僕	
自	
身	
が	
楽	EVENT eid="e69" class="OCCURRENCE"
し	
ん	
で	
作	EVENT eid="e70" class="OCCURRENCE"
っ	
て	
い	
る	
の	
だ	
か	
ら	
、	
見	EVENT eid="e71" class="OCCURRENCE"
る	
人	
も	
ま	
ず	
楽	EVENT eid="e72" class="OCCURRENCE"
し	
ん	
で	
ほ	
し	
い	
。	
　	
今	TIMEX3 type="DATE" tid="t3" valueFromSurface="XXXX" value="2002" definite="FALSE"
年	
は	
夏	TIMEX3 type="DATE" tid="t5" valueFromSurface="XXXX-SU" value="2002-SU" definite="FALSE"
か	
ら	
秋	TIMEX3 type="DATE" tid="t6" valueFromSurface="XXXX-FA" value="2002-FA" definite="FALSE"
に	
か	EVENT eid="e73" class="OCCURRENCE"
け	
て	
、	
韓	
国	
で	
巡	
回	
展	
が	
決	EVENT eid="e74" class="I_ACTION"
ま	
っ	
て	
い	
ま	
す	
。	
　	
み	
や	
じ	
ま	
・	
た	
つ	
お	
　	
１	TIMEX3 type="DATE" tid="t7" valueFromSurface="XXXX" value="1957" definite="FALSE"
９	
５	
７	
年	
、	
東	
京	
都	
生	
ま	
れ	
。	
東	
京	
芸	
術	
大	
学	
大	
学	
院	
修	
了	
。	
８	TIMEX3 type="DATE" tid="t8" valueFromSurface="XX88" value="1988" definite="FALSE"
８	
年	
、	
ベ	
ネ	
チ	
ア	
で	
開	EVENT eid="e75" class="I_ACTION"
か	
れ	
た	
国	
際	
現	
代	
美	
術	
展	
ア	
ペ	
ル	
ト	
部	
門	
に	
、	
デ	
ジ	
タ	
ル	
カ	
ウ	
ン	
タ	
ー	
を	
使	EVENT eid="e76" class="OCCURRENCE"
っ	
た	
最	
初	
の	
作	
品	
を	
発	
表	
。	
国	EVENT eid="e77" class="NULL"
際	
的	
な	
評	
価	
を	
受	EVENT eid="e78" class="I_ACTION"
け	
た	
。	
９	TIMEX3 type="DATE" tid="t9" valueFromSurface="XX99" value="1999" definite="FALSE"
９	
年	
、	
第	
４	
８	
回	
ベ	
ネ	
チ	
ア	
ビ	
エ	
ン	
ナ	
ー	
レ	
日	
本	
代	
表	
。	
共	
著	
に	
画	
家	
、	
千	
住	
博	
さ	
ん	
と	
の	
対	
談	
集	
『	
疑	
問	
符	
と	
し	
て	
の	
芸	
術	
』	
な	
ど	
。	
「	
Ｍ	
ｅ	
ｇ	
ａ	
　	
Ｄ	
ｅ	
ａ	
ｔ	
ｈ	
］	
（	
１	TIMEX3 type="DATE" tid="t10" valueFromSurface="1999" value="1999" definite="FALSE"
９	
９	
９	
年	
・	
第	
４	
８	
回	
ベ	
ネ	
チ	
ア	
ビ	
エ	
ン	
ナ	
ー	
レ	
日	
本	
館	
よ	
り	
）	
撮	
影	
・	
寺	
河	
内	
美	
奈	
▶	
幻	
想	
誘	EVENT eid="e79" class="I_ACTION"
う	
「	
ト	
ン	
ネ	
ル	
体	
験	
」	
　	
数	TIMEX3 type="DATE" value="XXXX" valueFromSurface="Q-XXXX"
年	
前	
、	
「	
１	
か	
ら	
９	
」	
の	
数	
字	
が	
点	EVENT eid="e80" class="OCCURRENCE"
滅	
す	
る	
宮	
島	
作	
品	
に	
、	
京	
都	
の	
美	
術	
館	
で	
出	EVENT eid="e81" class="OCCURRENCE"
合	
っ	
た	
。	
人	
が	
や	
っ	
と	
す	EVENT eid="e82" class="OCCURRENCE"
れ	
違	
え	
る	
程	
度	
の	
、	
細	EVENT eid="e83" class="NULL"
く	
て	
暗	EVENT eid="e84" class="NULL"
く	
長	EVENT eid="e85" class="NULL"
い	
ト	
ン	
ネ	
ル	
。	
そ	
の	
中	
を	
観	
客	
が	
通	EVENT eid="e86" class="OCCURRENCE"
り	
抜	
け	
る	
作	
品	
だ	
っ	
た	
。	
赤	EVENT eid="e87" class="NULL"
い	
数	
字	
の	
シ	
ャ	
ワ	
ー	
を	
浴	EVENT eid="e88" class="OCCURRENCE"
び	
な	
が	
ら	
。	
　	
歩	EVENT eid="e89" class="OCCURRENCE"
く	
う	
ち	
、	
点	
滅	
の	
ス	
ピ	
ー	
ド	
に	
、	
自	
分	
の	
歩	EVENT eid="e90" class="OCCURRENCE"
く	
リ	
ズ	
ム	
を	
無	EVENT eid="e91" class="NULL"
意	
識	
に	
合	EVENT eid="e92" class="OCCURRENCE"
わ	
せ	
て	
い	
る	
こ	
と	
に	
気	EVENT eid="e93" class="I_STATE"
づ	
い	
た	
。	
そ	
れ	
だ	
け	
で	
は	
な	
い	
。	
数	
字	
が	
カ	EVENT eid="e94" class="NULL"
チ	
カ	
チ	
と	
リ	
ズ	
ム	
を	
刻	EVENT eid="e95" class="OCCURRENCE"
む	
音	
ま	
で	
聴	EVENT eid="e96" class="PERCEPTION"
い	
た	
よ	
う	
な	
錯	
覚	
を	
覚	EVENT eid="e97" class="PERCEPTION"
え	
た	
、	
実	
際	
に	
は	
ま	
っ	
た	
く	
音	
は	
な	EVENT eid="e98" class="STATE"
い	
。	
そ	
の	
世	
界	
に	
す	
っ	
か	
り	
は	EVENT eid="e99" class="OCCURRENCE"
ま	
っ	
た	
。	
　	
そ	
ん	
な	
宮	
島	
作	
品	
が	
、	
最	TIMEX3 type="DATE" tid="t11" valueFromSurface="PAST_REF" value="PAST_REF" definite="TRUE"
近	
、	
末	
期	
が	
ん	
を	
宣	EVENT eid="e100" class="OCCURRENCE"
告	
さ	
れ	
た	
患	
者	
の	
痛	
み	
を	
や	EVENT eid="e101" class="I_ACTION"
わ	
ら	
げ	
る	
効	
果	
が	
あ	EVENT eid="e102" class="NULL"
る	
、	
と	
注	EVENT eid="e103" class="I_ACTION"
目	
さ	
れ	
て	
い	
る	
。	
患	
者	
自	
ら	
が	
カ	
ウ	
ン	
タ	
ー	
を	
使	EVENT eid="e104" class="OCCURRENCE"
っ	
て	
作	
品	
を	
仕	EVENT eid="e105" class="OCCURRENCE"
上	
げ	
る	
の	
だ	
が	
、	
創	
作	
の	
イ	
メ	
ー	
ジ	
づ	
く	
り	
に	
夢	EVENT eid="e106" class="NULL"
中	
に	
な	EVENT eid="e107" class="OCCURRENCE"
っ	
て	
、	
そ	
の	
間	
、	
痛	
み	
か	
ら	
解	EVENT eid="e108" class="I_ACTION"
放	
さ	
れ	
る	
と	
い	EVENT eid="e109" class="NULL"
う	
の	
だ	
。	
数	
字	
を	
何	
に	
見	EVENT eid="e110" class="OCCURRENCE"
立	
て	
、	
ど	
ん	
な	
色	
に	
し	EVENT eid="e111" class="OCCURRENCE"
、	
ど	
う	
配	EVENT eid="e112" class="OCCURRENCE"
置	
し	
て	
い	
く	
か	
…	
。	
次	
は	
も	
っ	
と	
い	EVENT eid="e113" class="NULL"
い	
も	
の	
を	
目	EVENT eid="e114" class="OCCURRENCE"
指	
そ	
う	
、	
と	
。	
　	
最	
新	
作	
で	
は	
鏡	
を	
使	EVENT eid="e115" class="OCCURRENCE"
う	
。	
薄	EVENT eid="e116" class="NULL"
暗	
か	
っ	
た	
こ	
れ	
ま	
で	
と	
違	EVENT eid="e117" class="OCCURRENCE"
い	
、	
明	EVENT eid="e118" class="NULL"
る	
い	
空	
間	
で	
、	
子	
供	
も	
怖	EVENT eid="e119" class="OCCURRENCE"
が	
ら	
ず	
に	
鑑	EVENT eid="e120" class="OCCURRENCE"
賞	
で	
き	
る	
。	
そ	
こ	
に	
は	
観	
客	
の	
姿	
も	
写	EVENT eid="e121" class="OCCURRENCE"
る	
。	
見	
え	
方	
が	
多	EVENT eid="e122" class="NULL"
彩	
に	
な	EVENT eid="e123" class="OCCURRENCE"
っ	
て	
き	
た	
。	
