英	
日	
に	
開	EVENT class="I_ACTION" eid="e13"
か	
れ	
た	
第	
８	
１	
回	
箱	
根	
駅	
伝	
は	
、	
選	
手	
の	
層	
の	
厚	
さ	
を	
見	EVENT class="OCCURRENCE" eid="e14"
せ	
つ	
け	
た	
駒	
沢	
大	
が	
４	TIMEX3 value="P4Y" definite="FALSE" valueFromSurface="P4Y" tid="t3" type="DURATION"
年	
連	
続	
の	
総	
合	
優	
勝	
を	
果	EVENT class="I_ACTION" eid="e15"
た	
し	
ま	
し	
た	
。	
　	
往	
路	
、	
復	
路	
あ	EVENT class="NULL" eid="e16"
わ	
せ	
て	
計	
２	
１	
７	
．	
９	
キ	
ロ	
・	
メ	
ー	
ト	
ル	
で	
駒	
沢	
大	
が	
出	EVENT class="OCCURRENCE" eid="e17"
し	
た	
タ	
イ	
ム	
は	
１	TIMEX3 value="PT11H3M48S" definite="FALSE" valueFromSurface="PT11H3M48S" tid="t4" type="DURATION"
１	
時	
間	
３	
分	
４	
８	
秒	
で	
し	
た	
。	
１	
０	
人	
の	
走	
者	
は	
平	EVENT class="OCCURRENCE" eid="e18"
均	
す	
る	
と	
、	
１	
キ	
ロ	
・	
メ	
ー	
ト	
ル	
を	
何	TIMEX3 value="PTXM" definite="TRUE" valueFromSurface="PTXM" tid="t5" type="DURATION"
分	
で	
走	EVENT class="OCCURRENCE" eid="e19"
っ	
た	
こ	
と	
に	
な	
る	
で	
し	
ょ	
う	
。	
四	EVENT class="NULL" eid="e20"
捨	
五	
入	
し	
て	
、	
距	
離	
は	
２	
２	
０	
キ	
ロ	
・	
メ	
ー	
ト	
ル	
、	
タ	
イ	
ム	
は	
１	TIMEX3 value="PT11H" definite="FALSE" valueFromSurface="PT11H" tid="t6" type="DURATION"
１	
時	
間	
で	
計	EVENT class="OCCURRENCE" eid="e21"
算	
し	
て	
み	
ま	
し	
ょ	
う	
。	
＊	
「	
数	
字	
」	
の	
答	
え	
　	
１	TIMEX3 value="PT11H" definite="FALSE" valueFromSurface="PT11H" tid="t7" type="DURATION"
１	
時	
間	
で	
２	
２	
０	
キ	
ロ	
・	
メ	
ー	
ト	
ル	
と	
い	
う	
こ	
と	
は	
、	
１	TIMEX3 value="PT1H" definite="FALSE" valueFromSurface="PT1H" tid="t8" type="DURATION"
時	
間	
で	
走	EVENT class="OCCURRENCE" eid="e22"
っ	
た	
距	
離	
は	
２	
０	
キ	
ロ	
・	
メ	
ー	
ト	
ル	
。	
つ	
ま	
り	
、	
２	
０	
キ	
ロ	
・	
メ	
ー	
ト	
ル	
を	
走	EVENT class="OCCURRENCE" eid="e23"
る	
の	
に	
６	TIMEX3 value="PT60M" definite="FALSE" valueFromSurface="PT60M" tid="t9" type="DURATION"
０	
分	
か	EVENT class="OCCURRENCE" eid="e24"
か	
っ	
た	
と	
い	
う	
こ	
と	
で	
す	
。	
１	
キ	
ロ	
・	
メ	
ー	
ト	
ル	
走	EVENT class="OCCURRENCE" eid="e25"
る	
の	
に	
か	EVENT class="OCCURRENCE" eid="e26"
か	
っ	
た	
タ	
イ	
ム	
は	
６	
０	
÷	
２	
０	
な	
の	
で	
、	
答	
え	
は	
３	TIMEX3 value="PT3M" definite="FALSE" valueFromSurface="PT3M" tid="t10" type="DURATION"
分	
と	
な	EVENT class="NULL" eid="e27"
り	
ま	
す	
。	
　	
箱	
根	
駅	
伝	
で	
４	TIMEX3 value="P4Y" definite="FALSE" valueFromSurface="P4Y" tid="t11" type="DURATION"
年	
連	
続	
優	EVENT class="OCCURRENCE" eid="e28"
勝	
し	
た	
の	
は	
５	
校	
目	
。	
中	
央	
大	
（	
６	TIMEX3 value="P6Y" definite="FALSE" valueFromSurface="P6Y" tid="t12" type="DURATION"
年	
連	
続	
）	
と	
日	
体	
大	
し	
か	
果	EVENT class="I_ACTION" eid="e29"
た	
し	
て	
い	
な	
い	
５	TIMEX3 value="P5Y" definite="FALSE" valueFromSurface="P5Y" tid="t13" type="DURATION"
年	
連	
続	
優	
勝	
を	
駒	
沢	
大	
が	
来	TIMEX3 value="2006" definite="FALSE" valueFromSurface="XXXX" tid="t14" type="DATE"
年	
、	
達	EVENT class="I_ACTION" eid="e30"
成	
で	
き	
る	
か	
楽	
し	
み	
で	
す	
ね	
。	
漢	
字	
発	
見	
！	
初	
ど	
き	
ど	
き	
わ	
く	
わ	
く	
　	
「	
初	
日	
の	
出	
」	
「	
初	
夢	
」	
「	
初	
も	
う	
で	
」	
―	
お	TIMEX3 value="XXXX-01" definite="TRUE" valueFromSurface="XXXX-01" tid="t15" type="DATE"
正	
月	
は	
「	
初	
」	
が	
あ	EVENT class="OCCURRENCE" eid="e31"
ふ	
れ	
て	
い	
ま	
す	
ね	
。	
「	
初	
」	
は	
「	
衤	
（	
衣	
、	
着	
物	
）	
」	
と	
「	
刀	
」	
の	
組	
み	
合	
わ	
せ	
で	
す	
。	
着	
物	
を	
作	EVENT class="NULL" eid="e32"
る	
に	
は	
、	
ま	
ず	
布	
を	
切	EVENT class="NULL" eid="e33"
る	
こ	
と	
か	
ら	
は	EVENT class="NULL" eid="e34"
じ	
め	
る	
の	
で	
、	
時	
間	
や	
物	
事	
の	
第	
一	
段	
階	
、	
最	
初	
の	
意	
味	
を	
指	EVENT class="OCCURRENCE" eid="e35"
す	
漢	
字	
に	
な	EVENT class="OCCURRENCE" eid="e36"
り	
ま	
し	
た	
。	
　	
た	
だ	
し	
、	
動	
作	
な	
ど	
を	
あ	EVENT class="NULL" eid="e37"
ら	
わ	
す	
「	
は	EVENT class="NULL" eid="e38"
じ	
め	
る	
・	
は	EVENT class="NULL" eid="e39"
じ	
ま	
る	
」	
は	
「	
初	
」	
で	
な	
く	
、	
「	
始	EVENT class="NULL" eid="e40"
め	
る	
・	
始	EVENT class="NULL" eid="e41"
ま	
る	
」	
と	
書	EVENT class="NULL" eid="e42"
き	
ま	
す	
。	
　	
何	
か	
を	
始	EVENT class="NULL" eid="e43"
め	
よ	
う	
と	
思	EVENT class="NULL" eid="e44"
い	
立	
っ	
た	
気	
持	
ち	
を	
「	
初	
心	
」	
と	
い	EVENT class="NULL" eid="e45"
い	
ま	
す	
。	
初	
め	
の	
意	
気	
込	
み	
を	
忘	EVENT class="NULL" eid="e46"
れ	
ず	
に	
が	EVENT class="NULL" eid="e47"
ん	
ば	
ろ	
う	
、	
と	
い	
う	
教	
え	
が	
「	
初	
心	
忘	EVENT class="NULL" eid="e48"
る	
べ	
か	
ら	
ず	
」	
。	
　	
も	
う	
す	
ぐ	
新	
学	
期	
が	
始	EVENT class="ASPECTUAL" eid="e49"
ま	
り	
ま	
す	
。	
一	TIMEX3 value="P1Y" definite="FALSE" valueFromSurface="P1Y" tid="t16" type="DURATION"
年	
生	
の	
教	
室	
で	
初	
め	
て	
教	
科	
書	
を	
開	EVENT class="OCCURRENCE" eid="e50"
い	
た	
と	
き	
の	
ど	
き	
ど	
き	
わ	EVENT class="OCCURRENCE" eid="e51"
く	
わ	
く	
し	
た	
心	
を	
思	EVENT class="I_STATE" eid="e52"
い	
だ	
し	
、	
初	
心	
に	
帰	EVENT class="OCCURRENCE" eid="e53"
っ	
て	
取	EVENT class="I_ACTION" eid="e54"
り	
組	
み	
ま	
し	
ょ	
う	
。	
（	
監	
修	
・	
国	
立	
国	
語	
研	
究	
所	
長	
・	
甲	
斐	
睦	
朗	
）	
次	
回	
の	
漢	
字	
は	
？	
　	
□	
の	
中	
に	
次	
に	
取	EVENT class="OCCURRENCE" eid="e55"
り	
上	
げ	
る	
漢	
字	
が	
入	EVENT class="OCCURRENCE" eid="e56"
り	
ま	
す	
。	
上	
下	
左	
右	
の	
字	
と	
組	EVENT class="OCCURRENCE" eid="e57"
み	
合	
わ	
せ	
、	
二	
文	
字	
ず	
つ	
の	
熟	
語	
を	
四	
つ	
作	EVENT class="OCCURRENCE" eid="e58"
っ	
て	
く	
だ	
さ	
い	
。	
偽	
装	
株	
対	
策	
西	
武	
鉄	
道	
常	
務	
も	
関	
与	
「	
改	
革	
委	
」	
事	
務	
局	
長	
職	
を	
辞	
任	
　	
西	
武	
鉄	
道	
に	
よ	
る	
有	
価	
証	
券	
報	
告	
書	
の	
虚	
偽	
記	
載	
問	
題	
で	
、	
グ	
ル	
ー	
プ	
中	
核	
の	
コ	
ク	
ド	
が	
、	
実	EVENT class="OCCURRENCE" eid="e59"
質	
保	
有	
し	
な	
が	
ら	
個	
人	
名	
義	
に	
し	EVENT class="OCCURRENCE" eid="e60"
て	
い	
た	
西	
武	
鉄	
道	
株	
に	
つ	
い	
て	
、	
二	TIMEX3 value="2003" mod="APPROX" definite="FALSE" valueFromSurface="2003" tid="t17" type="DATE"
〇	
〇	
三	
年	
ご	
ろ	
か	
ら	
西	
武	
鉄	
道	
と	
対	
応	
を	
協	EVENT class="I_ACTION" eid="e61"
議	
し	
て	
い	
た	
こ	
と	
が	
分	EVENT class="I_ACTION" eid="e62"
か	
っ	
た	
。	
西	
武	
鉄	
道	
は	
こ	
れ	
ま	
で	
、	
個	
人	
名	
義	
株	
の	
実	
態	
に	
つ	
い	
て	
「	
一	
部	
担	
当	
者	
し	
か	
知	EVENT class="OCCURRENCE" eid="e63"
ら	
ず	
、	
現	
経	
営	
陣	
は	
認	EVENT class="OCCURRENCE" eid="e64"
識	
し	
て	
い	
な	
い	
」	
と	
説	EVENT class="I_ACTION" eid="e65"
明	
し	
て	
き	
た	
が	
、	
協	
議	
に	
は	
、	
問	
題	
発	
覚	
後	
に	
発	EVENT class="OCCURRENCE" eid="e66"
足	
し	
た	
「	
西	
武	
グ	
ル	
ー	
プ	
経	
営	
改	
革	
委	
員	
会	
」	
事	
務	
局	
長	
の	
池	
田	
敦	
・	
西	
武	
鉄	
道	
常	
務	
（	
５	TIMEX3 value="P57Y" definite="FALSE" valueFromSurface="P57Y" tid="t18" type="DURATION"
７	
）	
が	
参	EVENT class="I_ACTION" eid="e67"
加	
し	
て	
い	
た	
。	
