都	
な	EVENT eid="e17" class="OCCURRENCE"
る	
」	
。	
Ｈ	
Ｐ	
を	
見	EVENT eid="e18" class="OCCURRENCE"
て	
福	
岡	
を	
訪	EVENT eid="e19" class="OCCURRENCE"
れ	
た	
韓	
国	
の	
若	
者	
と	
一	
緒	
に	
買	
い	
物	
を	
楽	EVENT eid="e20" class="OCCURRENCE"
し	
み	
、	
ラ	
イ	
ブ	
に	
出	EVENT eid="e21" class="OCCURRENCE"
か	
け	
る	
こ	
と	
も	
あ	
る	
。	
ネ	
ッ	
ト	
の	
世	
界	
に	
と	EVENT eid="e22" class="OCCURRENCE"
ど	
ま	
ら	
ず	
「	
気	EVENT eid="e23" class="NULL"
軽	
に	
顔	
を	
合	EVENT eid="e24" class="OCCURRENCE"
わ	
せ	
ら	
れ	
る	
近	
さ	
が	
あ	EVENT eid="e25" class="STATE"
る	
」	
の	
だ	
。	
　	
天	
神	
の	
ラ	
ジ	
オ	
局	
「	
Ｌ	
ｏ	
ｖ	
ｅ	
　	
Ｆ	
Ｍ	
」	
で	
ア	
ジ	
ア	
を	
紹	EVENT eid="e26" class="OCCURRENCE"
介	
す	
る	
番	
組	
を	
作	EVENT eid="e27" class="OCCURRENCE"
っ	
て	
い	
る	
営	
業	
制	
作	
部	
長	
、	
坂	
田	
隆	
史	
（	
四	TIMEX3 type="DURATION" definite="FALSE" tid="t3" valueFromSurface="P44Y" value="P44Y"
四	
）	
も	
、	
同	
意	
見	
だ	
。	
「	
耳	
に	
し	EVENT eid="e28" class="OCCURRENCE"
た	
こ	
と	
が	
な	EVENT eid="e29" class="STATE"
い	
言	
葉	
の	
歌	
に	
は	
違	
和	
感	
が	
残	EVENT eid="e30" class="OCCURRENCE"
る	
。	
で	
も	
、	
福	
岡	
は	
ア	
ジ	
ア	
の	
留	
学	
生	
や	
旅	
行	
者	
が	
多	EVENT eid="e31" class="NULL"
く	
、	
心	EVENT eid="e32" class="NULL"
理	
的	
に	
も	
近	EVENT eid="e33" class="NULL"
い	
」	
　	
坂	
田	
は	
、	
音	
楽	
市	
場	
と	
し	
て	
の	
可	
能	
性	
を	
ア	
ジ	
ア	
に	
感	EVENT eid="e34" class="OCCURRENCE"
じ	
て	
い	
る	
。	
昨	TIMEX3 type="DATE" definite="FALSE" tid="t4" valueFromSurface="XXXX-10" value="2003-10"
年	
十	
月	
か	
ら	
二	TIMEX3 type="DURATION" definite="FALSE" tid="t5" valueFromSurface="P2M" value="P2M"
カ	
月	
間	
、	
ア	
ジ	
ア	
六	
カ	
国	
・	
地	
域	
を	
回	EVENT eid="e35" class="OCCURRENCE"
り	
、	
中	
国	
で	
出	EVENT eid="e36" class="OCCURRENCE"
会	
っ	
た	
無	
名	
の	
日	
本	
人	
ミ	
ュ	
ー	
ジ	
シ	
ャ	
ン	
の	
話	
に	
驚	EVENT eid="e37" class="I_STATE"
い	
た	
。	
「	
こ	
れ	
ま	
で	
の	
ラ	
イ	
ブ	
で	
、	
四	
億	
人	
が	
歌	
を	
聴	EVENT eid="e38" class="OCCURRENCE"
い	
て	
く	
れ	
た	
」	
。	
中	
国	
の	
音	
楽	
関	
係	
者	
は	
言	EVENT eid="e39" class="OCCURRENCE"
っ	
た	
。	
「	
新	
人	
の	
Ｃ	
Ｄ	
は	
二	
千	
万	
枚	
売	EVENT eid="e40" class="OCCURRENCE"
れ	
た	
」	
。	
日	
本	
で	
は	
百	
万	
枚	
以	
上	
で	
大	
ヒ	
ッ	
ト	
。	
け	EVENT eid="e41" class="NULL"
た	
違	
い	
だ	
。	
　	
タ	
イ	
・	
バ	
ン	
コ	
ク	
で	
は	
チ	
ャ	
ン	
ス	
も	
手	
に	
し	EVENT eid="e42" class="I_ACTION"
た	
。	
ラ	
ジ	
オ	
局	
社	
員	
と	
会	
話	
が	
弾	EVENT eid="e43" class="I_ACTION"
み	
、	
そ	
の	
場	
で	
福	
岡	
の	
ミ	
ュ	
ー	
ジ	
シ	
ャ	
ン	
の	
現	
地	
イ	
ベ	
ン	
ト	
出	
演	
が	
決	
定	
。	
「	
巨	EVENT eid="e44" class="NULL"
額	
の	
宣	
伝	
費	
に	
頼	EVENT eid="e45" class="OCCURRENCE"
る	
メ	
ジ	
ャ	
ー	
（	
大	
手	
レ	
コ	
ー	
ド	
会	
社	
）	
の	
手	
法	
で	
な	
く	
て	
も	
福	
岡	
の	
音	
楽	
を	
広	EVENT eid="e46" class="OCCURRENCE"
め	
る	
道	
は	
あ	EVENT eid="e47" class="OCCURRENCE"
る	
」	
。	
そ	
ん	
な	
思	
い	
を	
坂	
田	
は	
強	EVENT eid="e48" class="NULL"
く	
す	EVENT eid="e49" class="OCCURRENCE"
る	
。	
　	
ア	
ジ	
ア	
戦	
略	
と	
い	
う	
意	
味	
で	
は	
、	
地	
元	
レ	
コ	
ー	
ド	
会	
社	
「	
セ	
ン	
テ	
ニ	
ア	
ル	
レ	
コ	
ー	
ド	
」	
（	
中	
央	
区	
）	
社	
長	
、	
本	
上	
陽	
（	
二	TIMEX3 type="DURATION" definite="FALSE" tid="t6" valueFromSurface="P27Y" value="P27Y"
七	
）	
は	
明	EVENT eid="e50" class="NULL"
確	
だ	
。	
「	
ア	
ジ	
ア	
に	
目	
を	
向	EVENT eid="e51" class="OCCURRENCE"
け	
な	
け	
れ	
ば	
、	
福	
岡	
に	
本	
社	
を	
置	EVENT eid="e52" class="OCCURRENCE"
く	
意	
味	
が	
な	EVENT eid="e53" class="NULL"
い	
」	
。	
ア	
ー	
テ	
ィ	
ス	
ト	
発	
掘	
、	
売	
り	
込	
み	
の	
拠	
点	
と	
し	
て	
年	TIMEX3 type="DATE" definite="FALSE" mod="END" tid="t7" valueFromSurface="XXXX" value="2004"
内	
に	
中	
国	
・	
上	
海	
に	
ラ	
イ	
ブ	
ハ	
ウ	
ス	
を	
開	EVENT eid="e54" class="OCCURRENCE"
設	
す	
る	
。	
　	
所	
属	
歌	
手	
の	
Ｍ	
Ｅ	
Ｌ	
Ａ	
（	
二	TIMEX3 type="DURATION" definite="FALSE" tid="t8" valueFromSurface="P22Y" value="P22Y"
二	
）	
＝	
福	
岡	
出	
身	
＝	
は	
「	
東	
京	
よ	
り	
ア	
ジ	
ア	
で	
ヒ	EVENT eid="e55" class="OCCURRENCE"
ッ	
ト	
し	
た	
い	
」	
と	
、	
自	
作	
曲	
を	
韓	
国	
語	
に	
ア	
レ	
ン	
ジ	
。	
九	TIMEX3 type="DATE" definite="FALSE" tid="t9" valueFromSurface="XXXX-09" value="2004-09"
月	
発	
売	
予	
定	
の	
ミ	
ニ	
ア	
ル	
バ	
ム	
に	
も	
収	
録	
、	
十	TIMEX3 type="DATE" definite="FALSE" tid="t10" valueFromSurface="XXXX-10" value="2004-10"
月	
に	
は	
韓	
国	
の	
ラ	
イ	
ブ	
で	
歌	EVENT eid="e56" class="OCCURRENCE"
う	
。	
　	
今	
や	
、	
自	
宅	
の	
パ	
ソ	
コ	
ン	
で	
も	
レ	EVENT eid="e57" class="OCCURRENCE"
コ	
ー	
デ	
ィ	
ン	
グ	
で	
き	
る	
時	
代	
。	
「	
東	
京	
で	
認	EVENT eid="e58" class="OCCURRENCE"
め	
ら	
れ	
な	
く	
て	
も	
ア	
ジ	
ア	
で	
売	EVENT eid="e59" class="OCCURRENCE"
れ	
る	
ア	
ー	
テ	
ィ	
ス	
ト	
が	
誕	EVENT eid="e60" class="OCCURRENCE"
生	
す	
る	
と	
思	EVENT eid="e61" class="I_STATE"
う	
。	
東	
京	
を	
経	EVENT eid="e62" class="OCCURRENCE"
由	
す	
る	
必	
要	
は	
な	EVENT eid="e63" class="STATE"
い	
」	
。	
本	
上	
は	
所	
属	
の	
ア	
ー	
テ	
ィ	
ス	
ト	
に	
一	
度	
は	
問	EVENT eid="e64" class="OCCURRENCE"
い	
か	
け	
る	
。	
「	
東	
京	
だ	
け	
が	
主	
流	
じ	
ゃ	
な	
い	
。	
韓	
国	
語	
か	
中	
国	
語	
で	
歌	EVENT eid="e65" class="OCCURRENCE"
っ	
て	
み	
な	
い	
か	
？	
」	
＝	
敬	
称	
略	
（	
入	
江	
剛	
史	
）	
ミ	
ュ	
ー	
ジ	
シ	
ャ	
ン	
の	
動	
画	
制	
作	
を	
チ	EVENT eid="e66" class="I_ACTION"
ェ	
ッ	
ク	
す	
る	
「	
イ	
ン	
デ	
ィ	
ペ	
ン	
デ	
ン	
ト	
　	
フ	
ァ	
ク	
ト	
リ	
ー	
　	
フ	
ク	
オ	
カ	
」	
の	
大	
木	
さ	
ん	
（	
奥	
）	
韓	
国	
語	
に	
ア	EVENT eid="e67" class="OCCURRENCE"
レ	
ン	
ジ	
し	
た	
歌	
詞	
を	
見	EVENT eid="e68" class="OCCURRENCE"
な	
が	
ら	
歌	EVENT eid="e69" class="OCCURRENCE"
う	
Ｍ	
Ｅ	
Ｌ	
Ａ	
　	
「	
都	
市	
探	
究	
」	
シ	
リ	
ー	
ズ	
（	
週	TIMEX3 type="SET" definite="FALSE" freq="5X" tid="t11" valueFromSurface="P1W" value="P1W"
５	
回	
）	
へ	
の	
ご	
意	
見	
、	
ご	
感	
想	
を	
お	EVENT eid="e70" class="I_ACTION"
待	
ち	
し	
て	
い	
ま	
す	
。	
〒	
８	
１	
０	
‐	
８	
７	
２	
１	
（	
住	EVENT eid="e71" class="NULL"
所	
不	
要	
）	
西	
日	
本	
新	
聞	
社	
地	
域	
報	
道	
セ	
ン	
タ	
ー	
「	
都	
市	
探	
究	
」	
係	
。	
フ	
ァ	
ク	
ス	
＝	
０	
９	
２	
（	
７	
１	
１	
）	
６	
２	
４	
２	
。	
メ	
ー	
ル	
＝	
ｔ	
ｉ	
ｉ	
ｋ	
ｉ	
＠	
ｎ	
ｉ	
ｓ	
ｈ	
ｉ	
ｎ	
ｉ	
ｐ	
ｐ	
ｏ	
ｎ	
．	
ｃ	
ｏ	
．	
ｊ	
ｐ	
長	
崎	
の	
画	
家	
ら	
「	
骰	
展	
」	
洋	
画	
、	
陶	
芸	
…	
　	
多	EVENT eid="e72" class="NULL"
彩	
な	
ア	
ー	
ト	
福	
岡	
市	
美	
術	
館	
　	
長	
崎	
県	
内	
の	
画	
家	
や	
陶	
芸	
家	
ら	
十	
二	
人	
に	
よ	
る	
「	
２	TIMEX3 type="DATE" definite="FALSE" tid="t12" valueFromSurface="XXXX" value="2004"
０	
０	
４	
骰	
展	
」	
が	
福	
岡	
市	
中	
央	
区	
大	
濠	
公	
園	
の	
市	
美	
術	
館	
で	
開	EVENT eid="e73" class="I_ACTION"
か	
れ	
て	
い	
る	
。	
カ	EVENT eid="e74" class="NULL"
ラ	
フ	
ル	
な	
布	
を	
使	EVENT eid="e75" class="OCCURRENCE"
っ	
た	
イ	
ン	
ス	
タ	
レ	
ー	
シ	
ョ	
ン	
（	
空	
間	
設	
置	
美	
術	
）	
か	
ら	
洋	
画	
、	
陶	
芸	
ま	
で	
意	EVENT eid="e76" class="NULL"
欲	
的	
な	
ア	
ー	
ト	
空	
間	
に	
な	EVENT eid="e77" class="OCCURRENCE"
っ	
て	
い	
る	
。	
三	TIMEX3 type="DATE" definite="FALSE" tid="t13" valueFromSurface="XXXX-XX-30" value="2004-05-30"
十	
日	
ま	
で	
。	
　	
一	TIMEX3 type="DATE" definite="FALSE" tid="t14" valueFromSurface="1997" value="1997"
九	
九	
七	
年	
に	
「	
六	
つ	
の	
目	
し	
か	
な	EVENT eid="e78" class="NULL"
い	
骰	
子	
を	
振	EVENT eid="e79" class="OCCURRENCE"
り	
な	
が	
ら	
、	
七	
つ	
目	
を	
求	EVENT eid="e80" class="OCCURRENCE"
め	
て	
い	
る	
よ	
う	
な	
表	
現	
者	
で	
あ	
り	
た	
い	
」	
と	
の	
願	
い	
を	
込	EVENT eid="e81" class="OCCURRENCE"
め	
て	
発	EVENT eid="e82" class="OCCURRENCE"
足	
し	
た	
グ	
ル	
ー	
プ	
。	
出	
品	
者	
は	
西	
日	
本	
女	
流	
美	
術	
展	
で	
大	
賞	
を	
受	EVENT eid="e83" class="OCCURRENCE"
賞	
し	
て	
以	
来	
、	
樹	
木	
の	
生	
命	
感	
を	
追	EVENT eid="e84" class="OCCURRENCE"
求	
し	
て	
い	
る	
長	
崎	
市	
の	
今	
道	
信	
子	
さ	
ん	
や	
、	
淡	EVENT eid="e85" class="NULL"
い	
抽	
象	
絵	
画	
と	
取	EVENT eid="e86" class="OCCURRENCE"
り	
組	
む	
小	
無	
田	
泉	
さ	
ん	
、	
陶	
器	
に	
花	
を	
あ	EVENT eid="e87" class="OCCURRENCE"
し	
ら	
い	
平	
和	
へ	
の	
願	
い	
を	
込	EVENT eid="e88" class="OCCURRENCE"
め	
る	
中	
村	
伸	
子	
さ	
ん	
ら	
。	
