ふ	
社	
長	
は	
「	
二	TIMEX3 definite="FALSE" value="FY2001" type="DATE" tid="t7" valueFromSurface="P2Y"
年	
目	
も	
引	EVENT class="NULL" eid="e42"
き	
続	
き	
好	
調	
を	
維	EVENT class="ASPECTUAL" eid="e43"
持	
し	
た	
い	
」	
と	
し	EVENT class="REPORTING" eid="e44"
て	
い	
る	
。	
　	
同	
会	
議	
場	
は	
、	
地	
上	
十	
二	
階	
、	
地	
下	
三	
階	
建	
て	
。	
二	
千	
七	
百	
五	
十	
四	
人	
収	
容	
の	
メ	
ー	
ン	
ホ	
ー	
ル	
や	
広	
さ	
二	
千	
六	
百	
平	
方	
メ	
ー	
ト	
ル	
の	
イ	
ベ	
ン	
ト	
ホ	
ー	
ル	
な	
ど	
が	
あ	EVENT class="NULL" eid="e45"
る	
。	
　	
今	TIMEX3 definite="FALSE" value="2001-03" mod="END" type="DATE" tid="t8" valueFromSurface="XXXX-03"
年	
三	
月	
末	
ま	
で	
の	
稼	
働	
率	
は	
六	
二	
％	
と	
、	
当	TIMEX3 type="DATE" value="PAST_REF" valueFromSurface="PAST_REF"
初	
目	
標	
の	
五	
五	
％	
を	
大	EVENT class="NULL" eid="e46"
幅	
に	
上	EVENT class="OCCURRENCE" eid="e47"
回	
っ	
た	
。	
大	
規	
模	
施	
設	
ほ	
ど	
稼	
働	
率	
が	
高	EVENT class="NULL" eid="e48"
く	
、	
メ	
ー	
ン	
ホ	
ー	
ル	
と	
イ	
ベ	
ン	
ト	
ホ	
ー	
ル	
の	
稼	
働	
率	
は	
と	
も	
に	
七	
〇	
％	
。	
　	
開	
業	
以	
来	
の	
一	TIMEX3 definite="FALSE" value="P1Y" type="DURATION" tid="t9" valueFromSurface="P1Y"
年	
間	
に	
利	EVENT class="OCCURRENCE" eid="e49"
用	
さ	
れ	
た	
イ	
ベ	
ン	
ト	
は	
、	
国	
際	
会	
議	
五	
十	
七	
件	
を	
含	EVENT class="NULL" eid="e50"
め	
会	
議	
、	
展	
示	
会	
な	
ど	
二	
千	
百	
十	
一	
件	
だ	
っ	
た	
。	
　	
収	
支	
見	
込	
み	
も	
、	
当	TIMEX3 type="DATE" value="PAST_REF" valueFromSurface="PAST_REF"
初	
は	
数	TIMEX3 definite="TRUE" value="PXY" type="DURATION" tid="t10" valueFromSurface="PXY"
年	
間	
の	
赤	
字	
が	
必	
至	
と	
み	EVENT class="I_STATE" eid="e51"
ら	
れ	
て	
い	
た	
が	
、	
今	TIMEX3 definite="FALSE" value="2001-05-31" type="DATE" tid="t11" valueFromSurface="XXXX-XX-31"
月	
三	
十	
一	
日	
に	
予	EVENT class="OCCURRENCE" eid="e52"
定	
し	
て	
い	
る	
初	TIMEX3 definite="FALSE" value="FY2000" type="DATE" tid="t12" valueFromSurface="FYXXXX"
年	
度	
決	
算	
で	
「	
経	
常	
利	
益	
は	
数	
億	
円	
単	
位	
の	
黒	
字	
に	
な	EVENT class="OCCURRENCE" eid="e53"
る	
」	
（	
山	
下	
社	
長	
）	
と	
い	EVENT class="REPORTING" eid="e54"
う	
。	
　	
こ	
の	
日	
、	
百	
万	
人	
目	
の	
来	
場	
者	
と	
な	EVENT class="OCCURRENCE" eid="e55"
っ	
た	
の	
は	
兵	
庫	
県	
市	
川	
町	
の	
柴	
田	
愛	
子	
さ	
ん	
で	
、	
田	
中	
丈	
三	
支	
配	
人	
か	
ら	
花	
束	
な	
ど	
が	
手	EVENT class="OCCURRENCE" eid="e56"
渡	
さ	
れ	
た	
。	
