水	
錯	
し	
た	
一	TIMEX3 type="DURATION" value="P1D" valueFromSurface="P1D" tid="t3" definite="FALSE"
日	
を	
追	EVENT eid="e16" class="OCCURRENCE"
っ	
た	
。	
（	
経	
済	
部	
　	
村	
山	
雅	
弥	
）	
◆	
潮	
目	
の	
変	
化	
　	
午	TIMEX3 type="TIME" value="2002-03-04T09" valueFromSurface="XXXX-XX-XXT09" tid="t4" definite="FALSE"
前	
九	
時	
の	
取	
引	
開	
始	
か	
ら	
十	TIMEX3 type="TIME" value="2002-03-04T09:15" valueFromSurface="XXXX-XX-XXTXX:15:XX" tid="t5" definite="FALSE"
五	
分	
。	
平	
均	
株	
価	
を	
示	EVENT eid="e17" class="OCCURRENCE"
す	
ボ	
ー	
ド	
が	
動	EVENT eid="e18" class="OCCURRENCE"
い	
た	
。	
前	TIMEX3 comment="2002-03-04開始週の１週前の週末" type="DATE" value="2002-WXX-WE" valueFromSurface="XXXX-WXX-WE" tid="t6" definite="TRUE"
週	
末	
終	
値	
に	
比	EVENT eid="e19" class="OCCURRENCE"
べ	
、	
二	
七	
七	
円	
九	
〇	
銭	
高	
。	
東	
証	
一	
部	
全	
体	
の	
値	
動	
き	
を	
示	EVENT eid="e20" class="NULL"
す	
東	
証	
株	
価	
指	
数	
（	
Ｔ	
Ｏ	
Ｐ	
Ｉ	
Ｘ	
）	
は	
前	TIMEX3 comment="2002-03-04開始週の１週前の週末" type="DATE" value="2002-WXX-WE" valueFromSurface="XXXX-WXX-WE" tid="t7" definite="TRUE"
週	
末	
終	
値	
に	
比	EVENT eid="e21" class="OCCURRENCE"
べ	
二	
四	
・	
九	
四	
ポ	
イ	
ン	
ト	
高	
を	
示	EVENT eid="e22" class="OCCURRENCE"
し	
た	
。	
　	
取	
引	
開	
始	
前	
、	
市	
場	
は	
強	
気	
と	
弱	
気	
の	
ど	
ち	
ら	
に	
ふ	EVENT eid="e23" class="OCCURRENCE"
れ	
る	
か	
、	
気	
迷	
い	
気	
分	
も	
あ	EVENT eid="e24" class="STATE"
っ	
た	
。	
前	TIMEX3 comment="2002-03-04開始週の１週前の週末" type="DATE" value="2002-WXX-WE" valueFromSurface="XXXX-WXX-WE" tid="t8" definite="TRUE"
週	
末	
の	
ニ	
ュ	
ー	
ヨ	
ー	
ク	
株	
式	
市	
場	
で	
ダ	
ウ	
工	
業	
株	
三	
十	
種	
平	
均	
が	
テ	
ロ	
後	
最	
高	
値	
を	
更	
新	
。	
た	
だ	
、	
週	TIMEX3 type="DATE" value="2002-WXX-WE" valueFromSurface="XXXX-WXX-WE" tid="t9" definite="TRUE"
末	
、	
佐	
藤	
工	
業	
の	
経	
営	
破	
綻	
と	
い	
う	
材	
料	
が	
加	EVENT eid="e25" class="I_ACTION"
わ	
っ	
た	
。	
「	
青	
木	
建	
設	
破	
綻	
直	
後	
、	
株	
価	
は	
下	EVENT eid="e26" class="OCCURRENCE"
落	
し	
た	
。	
今	TIMEX3 type="DATE" value="FUTURE_REF" valueFromSurface="FUTURE_REF" tid="t10" definite="TRUE"
後	
は	
ど	
う	
だ	
ろ	
う	
」	
。	
　	
結	
果	
が	
「	
強	
気	
（	
買	
い	
）	
」	
と	
出	EVENT eid="e27" class="I_ACTION"
る	
と	
、	
市	
場	
は	
銀	
行	
株	
な	
ど	
を	
中	
心	
に	
一	
斉	
に	
上	
昇	
を	
開	EVENT eid="e28" class="I_ACTION"
始	
す	
る	
。	
　	
佐	
藤	
工	
業	
破	
綻	
は	
、	
青	
木	
建	
設	
の	
と	
き	
の	
よ	
う	
な	
「	
次	
は	
ど	
こ	
だ	
」	
と	
い	
う	
標	
的	
探	
し	
で	
は	
な	
く	
「	
不	
良	
債	
権	
処	
理	
の	
進	
展	
」	
へ	
の	
期	
待	
感	
に	
つ	EVENT eid="e29" class="OCCURRENCE"
な	
が	
っ	
た	
の	
だ	
。	
　	
空	
売	
り	
規	
制	
を	
受	EVENT eid="e30" class="OCCURRENCE"
け	
、	
株	
式	
市	
場	
は	
前	TIMEX3 type="DATE" value="2002-02-W4" valueFromSurface="XXXX-WXX" tid="t11" definite="FALSE"
週	
の	
後	
半	
、	
三	TIMEX3 type="DURATION" value="P3D" valueFromSurface="P3D" tid="t12" definite="FALSE"
日	
続	EVENT eid="e31" class="OCCURRENCE"
伸	
し	
て	
い	
た	
こ	
と	
が	
買	
い	
に	
拍	
車	
を	
か	EVENT eid="e32" class="OCCURRENCE"
け	
る	
。	
「	
静	EVENT eid="e33" class="OCCURRENCE"
観	
し	
て	
い	
た	
生	
命	
保	
険	
な	
ど	
の	
機	
関	
投	
資	
家	
も	
、	
今	TIMEX3 type="DATE" value="FUTURE_REF" valueFromSurface="FUTURE_REF"
後	
株	
高	
が	
続	EVENT eid="e34" class="ASPECTUAL"
い	
た	
と	
き	
に	
差	
益	
を	
出	EVENT eid="e35" class="OCCURRENCE"
せ	
な	
い	
『	
持	EVENT eid="e36" class="OCCURRENCE"
た	
ざ	
る	
リ	
ス	
ク	
』	
を	
感	EVENT eid="e37" class="I_STATE"
じ	
始	
め	
た	
」	
（	
大	
手	
証	
券	
）	
。	
「	
潮	
目	
の	
変	
化	
」	
は	
明	EVENT eid="e38" class="NULL"
ら	
か	
だ	
っ	
た	
。	
◆	
官	
製	
相	
場	
　	
株	
価	
は	
高	
値	
水	
準	
で	
行	EVENT eid="e39" class="OCCURRENCE"
き	
つ	
戻	EVENT eid="e40" class="OCCURRENCE"
り	
つ	
の	
場	
面	
も	
あ	EVENT eid="e41" class="OCCURRENCE"
っ	
た	
が	
、	
結	
局	
取	
引	
終	
了	
の	
午	TIMEX3 type="TIME" value="2002-03-04T15" valueFromSurface="XXXX-XX-XXT15" tid="t13" definite="FALSE"
後	
三	
時	
ま	
で	
上	EVENT eid="e42" class="OCCURRENCE"
げ	
続	
け	
た	
。	
　	
こ	
れ	
ま	
で	
売	
り	
に	
走	EVENT eid="e43" class="I_ACTION"
っ	
て	
い	
た	
外	
国	
人	
投	
資	
家	
が	
「	
景	
気	
の	
下	
げ	
止	
ま	
り	
感	
も	
出	EVENT eid="e44" class="OCCURRENCE"
て	
き	
た	
」	
（	
外	
資	
系	
証	
券	
）	
と	
、	
買	
い	
に	
回	EVENT eid="e45" class="I_ACTION"
っ	
て	
い	
る	
こ	
と	
も	
市	
場	
に	
買	
い	
へ	
の	
安	
心	
感	
を	
誘	EVENT eid="e46" class="OCCURRENCE"
っ	
た	
。	
　	
四	TIMEX3 type="TIME" value="2002-03-04TEV" valueFromSurface="XXXX-XX-04TEV" tid="t14" definite="FALSE"
日	
夕	
の	
記	
者	
会	
見	
で	
、	
福	
田	
康	
夫	
官	
房	
長	
官	
は	
「	
日	
本	
の	
株	
式	
は	
安	EVENT eid="e47" class="OCCURRENCE"
す	
ぎ	
る	
と	
思	EVENT eid="e48" class="I_STATE"
っ	
て	
い	
た	
。	
上	EVENT eid="e49" class="OCCURRENCE"
が	
っ	
て	
当	EVENT eid="e50" class="NULL"
然	
と	
い	
う	
感	
じ	
」	
と	
歓	
迎	
、	
株	
価	
上	
昇	
の	
要	
因	
と	
し	
て	
「	
デ	
フ	
レ	
対	
策	
、	
日	
銀	
が	
積	EVENT eid="e51" class="NULL"
極	
的	
な	
金	
融	
緩	
和	
を	
打	EVENT eid="e52" class="I_ACTION"
ち	
出	
し	
た	
こ	
と	
、	
不	
良	
債	
権	
処	
理	
へ	
の	
期	
待	
な	
ど	
が	
あ	EVENT eid="e53" class="STATE"
る	
の	
だ	
ろ	
う	
」	
と	
自	EVENT eid="e54" class="I_ACTION"
画	
自	
賛	
し	
た	
。	
金	
融	
庁	
の	
森	
昭	
治	
長	
官	
も	
東	
京	
市	
場	
の	
株	
式	
売	
買	
高	
が	
一	
兆	
円	
を	
超	EVENT eid="e55" class="OCCURRENCE"
え	
た	
こ	
と	
で	
「	
市	
場	
の	
取	
引	
が	
厚	EVENT eid="e56" class="NULL"
く	
な	EVENT eid="e57" class="OCCURRENCE"
っ	
て	
い	
る	
こ	
と	
は	
歓	EVENT eid="e58" class="I_STATE"
迎	
で	
き	
る	
」	
と	
指	EVENT eid="e59" class="I_ACTION"
摘	
し	
て	
い	
る	
。	
た	
だ	
、	
こ	
の	
ま	
ま	
一	
本	
調	
子	
で	
株	
価	
が	
上	EVENT eid="e60" class="OCCURRENCE"
昇	
す	
る	
、	
と	
い	EVENT eid="e61" class="PERCEPTION"
う	
関	
係	
者	
は	
ほ	
と	
ん	
ど	
い	EVENT eid="e62" class="STATE"
な	
い	
。	
空	
売	
り	
規	
制	
、	
公	
的	
年	
金	
の	
買	
い	
―	
。	
“	
官	
製	
相	
場	
”	
で	
あ	
る	
こ	
と	
は	
間	EVENT eid="e63" class="NULL"
違	
い	
な	
い	
。	
　	
市	
場	
は	
、	
銀	
行	
が	
決	
算	
を	
迎	EVENT eid="e64" class="I_ACTION"
え	
る	
三	TIMEX3 mod="END" type="DATE" value="2002-03" valueFromSurface="XXXX-03" tid="t15" definite="FALSE"
月	
末	
を	
一	
つ	
の	
ポ	
イ	
ン	
ト	
と	
み	EVENT eid="e65" class="I_STATE"
て	
い	
る	
。	
四	TIMEX3 type="DATE" value="2002-04" valueFromSurface="XXXX-04" tid="t16" definite="FALSE"
月	
に	
な	EVENT eid="e66" class="OCCURRENCE"
っ	
て	
公	
的	
資	
金	
に	
よ	
る	
金	
融	
機	
関	
へ	
の	
資	
本	
注	
入	
や	
、	
財	
政	
出	
動	
も	
含	EVENT eid="e67" class="NULL"
め	
た	
“	
デ	
フ	
レ	
対	
策	
第	
二	
弾	
”	
が	
出	EVENT eid="e68" class="I_ACTION"
て	
く	
る	
か	
ど	
う	
か	
。	
新	TIMEX3 type="DATE" value="FY2002" valueFromSurface="FYXXXX" tid="t17" definite="FALSE"
年	
度	
を	
に	EVENT eid="e69" class="OCCURRENCE"
ら	
ん	
だ	
“	
官	
製	
相	
場	
”	
が	
“	
対	
策	
催	
促	
相	
場	
”	
に	
変	EVENT eid="e70" class="OCCURRENCE"
わ	
る	
公	
算	
は	
大	EVENT eid="e71" class="NULL"
き	
い	
。	
株	
式	
持	
ち	
合	
い	
解	
消	
　	
銀	
行	
株	
放	
出	
に	
注	
目	
　	
四	TIMEX3 type="DATE" value="2002-03-04" valueFromSurface="XXXX-XX-04" tid="t18" definite="FALSE"
日	
も	
株	
価	
は	
今	TIMEX3 type="DATE" value="2002" valueFromSurface="XXXX" tid="t19" definite="FALSE"
年	
最	
大	
の	
上	
げ	
幅	
を	
記	EVENT eid="e72" class="OCCURRENCE"
録	
し	
た	
が	
、	
市	
場	
関	
係	
者	
は	
「	
株	
価	
が	
底	EVENT eid="e73" class="OCCURRENCE"
離	
れ	
し	
た	
と	
判	EVENT eid="e74" class="I_ACTION"
断	
す	
る	
に	
は	
時	
期	
尚	
早	
。	
株	
価	
の	
方	
向	
性	
は	
決	
算	
期	
の	
三	TIMEX3 mod="END" type="DATE" value="2002-03" valueFromSurface="XXXX-03" tid="t20" definite="FALSE"
月	
末	
ま	
で	
売	
り	
圧	
力	
と	
な	EVENT eid="e75" class="OCCURRENCE"
る	
株	
式	
持	
ち	
合	
い	
解	
消	
の	
動	
き	
が	
カ	
ギ	
を	
握	EVENT eid="e76" class="STATE"
る	
」	
と	
指	EVENT eid="e77" class="I_ACTION"
摘	
す	
る	
。	
　	
特	
に	
持	
ち	
合	
い	
解	
消	
に	
伴	EVENT eid="e78" class="I_ACTION"
い	
、	
事	
業	
会	
社	
が	
保	EVENT eid="e79" class="OCCURRENCE"
有	
す	
る	
銀	
行	
株	
の	
放	
出	
に	
注	
目	
が	
集	EVENT eid="e80" class="I_ACTION"
ま	
る	
。	
四	
大	
金	
融	
グ	
ル	
ー	
プ	
の	
株	
価	
は	
、	
み	
ず	
ほ	
ホ	
ー	
ル	
デ	
ィ	
ン	
グ	
ス	
を	
筆	
頭	
に	
、	
こ	
の	
一	TIMEX3 type="DURATION" value="P1M" valueFromSurface="P1M" tid="t21" definite="FALSE"
カ	
月	
で	
４	
８	
％	
強	
か	
ら	
３	
０	
％	
弱	
も	
軒	
並	
み	
値	
を	
上	EVENT eid="e81" class="OCCURRENCE"
げ	
て	
お	
り	
、	
高	
値	
を	
狙	EVENT eid="e82" class="OCCURRENCE"
っ	
た	
銀	
行	
株	
売	
却	
の	
動	
き	
が	
加	EVENT eid="e83" class="I_ACTION"
速	
す	
る	
、	
と	
い	
う	
わ	
け	
だ	
。	
大	
和	
総	
研	
の	
マ	
ー	
ケ	
ッ	
ト	
ア	
ナ	
リ	
ス	
ト	
、	
壁	
谷	
洋	
和	
氏	
は	
「	
持	
ち	
合	
い	
株	
解	
消	
だ	
け	
で	
な	
く	
、	
利	
益	
確	
定	
売	
り	
も	
出	EVENT eid="e84" class="I_ACTION"
る	
」	
と	
し	EVENT eid="e85" class="REPORTING"
て	
、	
今	
後	
も	
買	
い	
が	
続	EVENT eid="e86" class="ASPECTUAL"
く	
の	
は	
難	EVENT eid="e87" class="NULL"
し	
い	
と	
み	EVENT eid="e88" class="I_STATE"
る	
。	
　	
一	
方	
、	
日	
興	
ソ	
ロ	
モ	
ン	
・	
ス	
ミ	
ス	
・	
バ	
ー	
ニ	
ー	
証	
券	
は	
、	
市	
場	
参	
加	
者	
の	
心	EVENT eid="e89" class="NULL"
理	
的	
な	
「	
上	
値	
抵	
抗	
ラ	
イ	
ン	
」	
を	
平	
均	
株	
価	
一	
万	
二	
一	
〇	
〇	
円	
前	
後	
と	
み	EVENT eid="e90" class="I_STATE"
る	
。	
　	
こ	
の	
ラ	
イ	
ン	
を	
超	EVENT eid="e91" class="OCCURRENCE"
え	
れ	
ば	
、	
さ	
ら	
に	
上	
値	
を	
め	EVENT eid="e92" class="OCCURRENCE"
ざ	
す	
展	
開	
も	
期	EVENT eid="e93" class="I_STATE"
待	
で	
き	
そ	
う	
だ	
が	
、	
Ｂ	
Ｎ	
Ｐ	
パ	
リ	
バ	
証	
券	
の	
チ	
ー	
フ	
エ	
コ	
ノ	
ミ	
ス	
ト	
、	
河	
野	
龍	
太	
郎	
氏	
は	
「	
デ	
フ	
レ	
や	
不	
良	
債	
権	
処	
理	
で	
政	
府	
が	
手	
を	
抜	EVENT eid="e94" class="OCCURRENCE"
け	
ば	
、	
株	
高	
は	
一	EVENT eid="e95" class="NULL"
時	
的	
な	
も	
の	
に	
終	EVENT eid="e96" class="OCCURRENCE"
わ	
る	
」	
と	
い	EVENT eid="e97" class="REPORTING"
う	
。	
コ	
ソ	
ボ	
大	
統	
領	
に	
ル	
ゴ	
バ	
氏	
空	
爆	
か	
ら	
３	TIMEX3 type="DURATION" value="P3Y" valueFromSurface="P3Y" tid="t22" definite="FALSE"
年	
　	
「	
自	
治	
州	
政	
府	
」	
誕	
生	
へ	
【	
ベ	
ル	
リ	
ン	
４	TIMEX3 type="DATE" value="2002-03-04" valueFromSurface="XXXX-XX-04" tid="t23" definite="FALSE"
日	
＝	
関	
厚	
夫	
】	
　	
国	
連	
管	
理	
下	
の	
ユ	
ー	
ゴ	
ス	
ラ	
ビ	
ア	
連	
邦	
コ	
ソ	
ボ	
自	
治	
州	
議	
会	
は	
四	TIMEX3 type="DATE" value="2002-03-04" valueFromSurface="XXXX-XX-04" tid="t24" definite="FALSE"
日	
、	
圧	
倒	
的	
多	
数	
で	
民	
主	
同	
盟	
の	
イ	
ブ	
ラ	
ヒ	
ム	
・	
ル	
ゴ	
バ	
議	
長	
（	
五	TIMEX3 type="DURATION" value="P57Y" valueFromSurface="P57Y" tid="t25" definite="FALSE"
七	
）	
を	
州	
大	
統	
領	
に	
選	EVENT eid="e98" class="OCCURRENCE"
出	
し	
た	
。	
北	
大	
西	
洋	
条	
約	
機	
構	
（	
Ｎ	
Ａ	
Ｔ	
Ｏ	
）	
に	
よ	
る	
ユ	
ー	
ゴ	
空	
爆	
か	
ら	
約	TIMEX3 mod="APPROX" type="DURATION" value="P3Y" valueFromSurface="P3Y" tid="t26" definite="FALSE"
三	
年	
を	
経	EVENT eid="e99" class="OCCURRENCE"
て	
、	
よ	
う	
や	
く	
「	
自	
治	
州	
政	
府	
」	
が	
誕	EVENT eid="e100" class="OCCURRENCE"
生	
す	
る	
こ	
と	
に	
な	
る	
。	
コ	
ソ	
ボ	
で	
は	
昨	TIMEX3 type="DATE" value="2001-11" valueFromSurface="XXXX-11" tid="t27" definite="FALSE"
年	
十	
一	
月	
に	
総	
選	
挙	
が	
実	EVENT eid="e101" class="I_ACTION"
施	
さ	
れ	
た	
が	
、	
穏	
健	
派	
の	
民	
主	
同	
盟	
と	
民	
族	
主	
義	
強	
硬	
派	
が	
大	
統	
領	
や	
閣	
僚	
の	
ポ	
ス	
ト	
を	
め	EVENT eid="e102" class="OCCURRENCE"
ぐ	
っ	
て	
対	EVENT eid="e103" class="OCCURRENCE"
立	
し	
、	
政	
治	
的	
空	
白	
が	
続	EVENT eid="e104" class="ASPECTUAL"
い	
て	
い	
た	
。	
　	
今	TIMEX3 type="DATE" value="FUTURE_REF" valueFromSurface="FUTURE_REF" tid="t28" definite="TRUE"
後	
は	
コ	
ソ	
ボ	
の	
地	
位	
問	
題	
が	
焦	
点	
と	
な	EVENT eid="e105" class="OCCURRENCE"
る	
が	
、	
ル	
ゴ	
バ	
大	
統	
領	
は	
国	
際	
社	
会	
と	
協	EVENT eid="e106" class="OCCURRENCE"
調	
し	
な	
が	
ら	
独	
立	
の	
道	
を	
探	EVENT eid="e107" class="OCCURRENCE"
る	
と	
み	EVENT eid="e108" class="I_STATE"
ら	
れ	
る	
。	
　	
コ	
ソ	
ボ	
で	
は	
、	
州	
議	
会	
が	
大	
統	
領	
を	
選	EVENT eid="e109" class="OCCURRENCE"
出	
す	
る	
。	
民	
主	
同	
盟	
は	
第	
一	
党	
だ	
が	
、	
議	
席	
数	
は	
四	
十	
七	
で	
、	
議	
会	
定	
数	
（	
一	
二	
〇	
）	
の	
過	
半	
数	
に	
大	EVENT eid="e110" class="NULL"
き	
く	
及	EVENT eid="e111" class="OCCURRENCE"
ば	
な	
い	
。	
こ	
の	
た	
め	
、	
ル	
ゴ	
バ	
氏	
は	
第	
二	
党	
の	
旧	
コ	
ソ	
ボ	
解	
放	
軍	
勢	
力	
の	
民	
主	
党	
（	
タ	
チ	
党	
首	
）	
な	
ど	
と	
の	
連	
立	
を	
模	EVENT eid="e112" class="I_ACTION"
索	
し	
た	
。	
　	
し	
か	
し	
、	
民	
主	
党	
が	
同	
氏	
と	
対	EVENT eid="e113" class="OCCURRENCE"
立	
す	
る	
元	
コ	
ソ	
ボ	
解	
放	
軍	
最	
高	
幹	
部	
の	
タ	
チ	
党	
首	
の	
首	
相	
就	
任	
を	
要	EVENT eid="e114" class="I_ACTION"
求	
し	
た	
た	
め	
、	
交	
渉	
は	
決	
裂	
。	
ル	
ゴ	
バ	
氏	
は	
今	TIMEX3 type="DATE" value="2002-01" valueFromSurface="XXXX-01" tid="t29" definite="FALSE"
年	
一	
月	
ま	
で	
に	
三	
度	
実	EVENT eid="e115" class="I_ACTION"
施	
さ	
れ	
た	
議	
会	
に	
よ	
る	
大	
統	
領	
選	
す	
べ	
て	
に	
「	EVENT eid="e116" class="I_ACTION"
落	
選	
」	
す	
る	
と	
い	
う	
失	
態	
を	
演	EVENT eid="e117" class="I_ACTION"
じ	
た	
。	
国	
連	
コ	
ソ	
ボ	
暫	
定	
統	
治	
機	
構	
は	
関	
係	
各	
党	
を	
調	
整	
、	
ル	
ゴ	
バ	
氏	
を	
大	
統	
領	
、	
民	
主	
党	
幹	
部	
の	
レ	
ジ	
ェ	
ピ	
氏	
を	
首	
相	
と	
し	EVENT eid="e118" class="OCCURRENCE"
、	
議	
会	
勢	
力	
に	
応	EVENT eid="e119" class="I_ACTION"
じ	
て	
そ	
の	
他	
の	
閣	
僚	
ポ	
ス	
ト	
を	
分	EVENT eid="e120" class="OCCURRENCE"
配	
す	
る	
こ	
と	
で	
合	
意	
に	
至	EVENT eid="e121" class="I_ACTION"
っ	
た	
。	
非	
暴	
力	
貫	EVENT eid="e122" class="ASPECTUAL"
く	
「	
コ	
ソ	
ボ	
の	
ガ	
ン	
ジ	
ー	
」	
　	
ユ	
ー	
ゴ	
の	
ミ	
ロ	
シ	
ェ	
ビ	
ッ	
チ	
前	
体	
制	
に	
対	
す	
る	
ア	
ル	
バ	
ニ	
ア	
系	
住	
民	
の	
非	
暴	
力	
抵	
抗	
運	
動	
を	
指	EVENT eid="e123" class="I_ACTION"
導	
し	
た	
「	
コ	
ソ	
ボ	
の	
ガ	
ン	
ジ	
ー	
」	
こ	
と	
、	
イ	
ブ	
ラ	
ヒ	
ム	
・	
ル	
ゴ	
バ	
氏	
は	
苦	
節	
十	TIMEX3 mod="APPROX" type="DURATION" value="P10Y" valueFromSurface="P10Y" tid="t30" definite="FALSE"
年	
余	
、	
晴	EVENT eid="e124" class="NULL"
れ	
て	
国	
際	
社	
会	
も	
認	EVENT eid="e125" class="OCCURRENCE"
知	
す	
る	
コ	
ソ	
ボ	
の	
最	
高	
指	
導	
者	
の	
座	
を	
射	EVENT eid="e126" class="OCCURRENCE"
止	
め	
た	
。	
　	
一	TIMEX3 type="DATE" value="1944-12" valueFromSurface="1944-12" tid="t31" definite="FALSE"
九	
四	
四	
年	
十	
二	
月	
、	
コ	
ソ	
ボ	
西	
部	
イ	
ス	
ト	
ク	
近	
郊	
生	
ま	
れ	
。	
文	
芸	
評	
論	
誌	
を	
主	EVENT eid="e127" class="OCCURRENCE"
宰	
す	
る	
な	
ど	
、	
文	
学	
活	
動	
を	
通	
じ	
て	
名	
を	
知	EVENT eid="e128" class="OCCURRENCE"
ら	
れ	
る	
よ	
う	
に	
な	EVENT eid="e129" class="I_ACTION"
り	
、	
政	
治	
運	
動	
の	
中	
核	
と	
な	EVENT eid="e130" class="OCCURRENCE"
っ	
て	
い	
た	
コ	
ソ	
ボ	
作	
家	
協	
会	
の	
会	
長	
に	
就	
任	
。	
一	TIMEX3 type="DATE" value="1989" valueFromSurface="1989" tid="t32" definite="FALSE"
九	
八	
九	
年	
の	
コ	
ソ	
ボ	
の	
自	
治	
撤	
廃	
に	
抗	EVENT eid="e131" class="I_ACTION"
議	
す	
る	
運	
動	
を	
主	EVENT eid="e132" class="I_ACTION"
導	
し	
、	
コ	
ソ	
ボ	
民	
主	
同	
盟	
を	
結	EVENT eid="e133" class="OCCURRENCE"
成	
し	
た	
。	
