特	
な	
い	
と	
、	
「	
ス	
テ	
ー	
ジ	
３	
」	
に	
入	EVENT eid="e21" class="OCCURRENCE"
り	
、	
金	
融	
機	
関	
の	
不	
良	
債	
権	
処	
理	
は	
激	EVENT eid="e22" class="NULL"
烈	
な	
治	
療	
法	
が	
必	
要	
と	
な	EVENT eid="e23" class="OCCURRENCE"
る	
。	
小	
泉	
首	
相	
は	
今	TIMEX3 type="DATE" value="PRESENT_REF" valueFromSurface="PRESENT_REF"
す	
ぐ	
「	
経	
済	
非	
常	
事	
態	
」	
を	
宣	EVENT eid="e24" class="I_ACTION"
言	
し	
、	
首	
相	
官	
邸	
に	
非	
常	
事	
態	
対	
応	
ス	
キ	
ー	
ム	
（	
計	
画	
）	
を	
作	EVENT eid="e25" class="I_ACTION"
る	
ド	
リ	
ー	
ム	
チ	
ー	
ム	
を	
設	EVENT eid="e26" class="OCCURRENCE"
置	
す	
べ	
き	
だ	
。	
そ	
こ	
で	
「	
産	
業	
再	
生	
委	
員	
会	
」	
方	
式	
を	
は	
じ	
め	
と	
す	EVENT eid="e27" class="NULL"
る	
金	
融	
経	
済	
危	
機	
対	
応	
マ	
ニ	
ュ	
ア	
ル	
を	
作	EVENT eid="e28" class="OCCURRENCE"
り	
上	
げ	
な	
い	
と	
、	
手	
遅	
れ	
に	
な	EVENT eid="e29" class="I_ACTION"
る	
危	
険	
が	
あ	EVENT eid="e30" class="STATE"
る	
。	
―	
　	
今	TIMEX3 definite="TRUE" valueFromSurface="PRESENT_REF" tid="t4" type="DATE" value="PRESENT_REF"
の	
経	
済	
状	
態	
は	
「	
非	
常	
事	
態	
に	
当	EVENT eid="e31" class="STATE"
た	
る	
」	
と	
。	
◆	
　	
そ	
う	
で	
す	
。	
日	
本	
の	
金	
融	
機	
関	
の	
不	
良	
債	
権	
問	
題	
を	
調	
べ	
に	
き	EVENT eid="e32" class="I_ACTION"
た	
ア	
メ	
リ	
カ	
側	
が	
、	
そ	
の	
惨	
状	
に	
腰	
を	
抜	EVENT eid="e33" class="OCCURRENCE"
か	
し	
た	
。	
米	
国	
に	
は	
、	
日	
本	
の	
不	
良	
債	
権	
問	
題	
は	
安	
全	
保	
障	
上	
の	
問	
題	
だ	
と	
い	
う	
指	
摘	
も	
あ	EVENT eid="e34" class="STATE"
る	
ほ	
ど	
だ	
。	
日	
本	
は	
ア	
メ	
リ	
カ	
に	
言	EVENT eid="e35" class="OCCURRENCE"
わ	
れ	
る	
ま	
で	
も	
な	
く	
、	
国	
内	
経	
済	
の	
安	
定	
を	
第	
一	
に	
考	EVENT eid="e36" class="I_STATE"
え	
て	
首	
相	
が	
政	
治	
決	
断	
を	
し	EVENT eid="e37" class="I_ACTION"
な	
い	
と	
い	EVENT eid="e38" class="NULL"
け	
な	
い	
段	
階	
に	
き	EVENT eid="e39" class="OCCURRENCE"
て	
い	
る	
。	
　	
小	
泉	
内	
閣	
は	
、	
細	
川	
、	
橋	
本	
、	
小	
渕	
の	
各	
政	
権	
の	
積	
み	
残	
し	
を	
一	
手	
に	
引	EVENT eid="e40" class="I_ACTION"
き	
受	
け	
て	
、	
そ	
の	
す	
べ	
て	
を	
処	EVENT eid="e41" class="I_ACTION"
理	
す	
る	
と	
い	
う	
重	
荷	
を	
背	EVENT eid="e42" class="OCCURRENCE"
負	
っ	
て	
い	
る	
。	
ま	
ず	
細	
川	
内	
閣	
が	
や	EVENT eid="e43" class="OCCURRENCE"
ろ	
う	
と	
し	EVENT eid="e44" class="I_ACTION"
て	
失	EVENT eid="e45" class="OCCURRENCE"
敗	
し	
た	
官	
邸	
主	
導	
シ	
ス	
テ	
ム	
を	
実	EVENT eid="e46" class="OCCURRENCE"
行	
し	
て	
い	
く	
。	
橋	
本	
内	
閣	
の	
構	
造	
改	
革	
も	
や	EVENT eid="e47" class="I_ACTION"
る	
。	
小	
渕	
内	
閣	
の	
不	
良	
債	
権	
処	
理	
も	
行	EVENT eid="e48" class="I_ACTION"
う	
。	
ど	
れ	
も	
非	EVENT eid="e49" class="NULL"
常	
に	
大	
き	
な	
お	
荷	
物	
で	
、	
し	
か	
も	
デ	
フ	
レ	
経	
済	
下	
で	
改	
革	
を	
行	EVENT eid="e50" class="I_ACTION"
わ	
な	
け	
れ	
ば	
な	
ら	
な	
い	
。	
強	EVENT eid="e51" class="NULL"
い	
政	
治	
的	
意	
思	
と	
そ	
れ	
を	
支	EVENT eid="e52" class="OCCURRENCE"
え	
る	
政	
治	
勢	
力	
を	
結	EVENT eid="e53" class="OCCURRENCE"
集	
し	
な	
い	
と	
、	
実	
現	
は	
で	EVENT eid="e54" class="I_STATE"
き	
な	
い	
。	
小	
泉	
首	
相	
は	
そ	
う	
い	EVENT eid="e55" class="NULL"
う	
認	
識	
を	
お	EVENT eid="e56" class="I_STATE"
持	
ち	
だ	
と	
思	EVENT eid="e57" class="I_STATE"
う	
が	
、	
改	
革	
を	
成	EVENT eid="e58" class="I_ACTION"
功	
さ	
せ	
る	
に	
は	
、	
同	
時	
に	
高	EVENT eid="e59" class="NULL"
度	
の	
戦	
略	
性	
を	
持	EVENT eid="e60" class="OCCURRENCE"
た	
な	
い	
と	
い	EVENT eid="e61" class="NULL"
け	
な	
い	
。	
そ	
の	
戦	
略	
性	
が	
あ	EVENT eid="e62" class="STATE"
る	
か	
と	
い	EVENT eid="e63" class="NULL"
え	
ば	
、	
非	EVENT eid="e64" class="NULL"
常	
に	
危	EVENT eid="e65" class="NULL"
う	
い	
気	
が	
す	EVENT eid="e66" class="I_STATE"
る	
。	
国	
債	
発	
行	
額	
３	
０	
兆	
円	
と	
い	
う	
目	
標	
設	
定	
が	
戦	EVENT eid="e67" class="NULL"
略	
的	
に	
間	EVENT eid="e68" class="I_ACTION"
違	
っ	
て	
い	
る	
気	
が	
す	EVENT eid="e69" class="I_STATE"
る	
。	
今	TIMEX3 type="DATE" value="PRESENT_REF" valueFromSurface="PRESENT_REF"
、	
重	EVENT eid="e70" class="NULL"
要	
な	
の	
は	
、	
資	
産	
デ	
フ	
レ	
で	
過	
剰	
債	
務	
を	
抱	EVENT eid="e71" class="OCCURRENCE"
え	
る	
業	
界	
の	
再	
編	
を	
視	
野	
に	
入	EVENT eid="e72" class="I_STATE"
れ	
た	
「	
産	
業	
再	
生	
委	
員	
会	
」	
の	
新	
設	
で	
す	
。	
―	
　	
政	
府	
介	
入	
型	
の	
産	
業	
再	
生	
ス	
キ	
ー	
ム	
は	
経	
済	
活	
性	
化	
を	
遅	EVENT eid="e73" class="I_ACTION"
ら	
せ	
る	
こ	
と	
に	
な	
り	
ま	
せ	
ん	
か	
。	
◆	
　	
金	
融	
機	
関	
の	
不	
良	
債	
権	
処	
理	
と	
産	
業	
界	
の	
過	
剰	
債	
務	
処	
理	
は	
表	
裏	
一	
体	
の	
関	
係	
に	
あ	EVENT eid="e74" class="STATE"
る	
。	
９	TIMEX3 definite="FALSE" valueFromSurface="XX9X" tid="t5" type="DATE" value="199X"
０	
年	
代	
の	
「	
失	EVENT eid="e75" class="OCCURRENCE"
わ	
れ	
た	
１	TIMEX3 definite="FALSE" valueFromSurface="P10Y" tid="t6" type="DURATION" value="P10Y"
０	
年	
」	
で	
は	EVENT eid="e76" class="I_ACTION"
っ	
き	
り	
し	
た	
の	
は	
、	
も	
は	
や	
民	
間	
ま	
か	
せ	
で	
は	
過	
剰	
債	
務	
処	
理	
は	
不	EVENT eid="e77" class="NULL"
可	
能	
と	
い	
う	
こ	
と	
だ	
。	
政	
府	
主	
導	
の	
強	
権	
発	
動	
が	
必	EVENT eid="e78" class="NULL"
要	
に	
な	EVENT eid="e79" class="OCCURRENCE"
る	
。	
ゼ	
ネ	
コ	
ン	
（	
総	
合	
建	
設	
会	
社	
）	
と	
流	
通	
業	
界	
が	
産	
業	
再	
生	
委	
の	
当	
面	
の	
対	
象	
と	
な	EVENT eid="e80" class="OCCURRENCE"
る	
。	
昨	TIMEX3 definite="FALSE" valueFromSurface="XXXX" tid="t7" type="DATE" value="2000"
年	
の	
今	TIMEX3 type="DATE" value="PRESENT_REF" valueFromSurface="PRESENT_REF"
ご	
ろ	
、	
大	
手	
百	
貨	
店	
「	
そ	
ご	
う	
」	
が	
経	EVENT eid="e81" class="OCCURRENCE"
営	
破	
た	
ん	
し	
、	
社	EVENT eid="e82" class="OCCURRENCE"
会	
問	
題	
化	
し	
た	
。	
そ	
ご	
う	
は	
、	
破	
た	
ん	
先	
で	
も	
破	
た	
ん	
懸	
念	
先	
で	
も	
な	EVENT eid="e83" class="NULL"
く	
、	
要	
注	
意	
先	
の	
企	
業	
だ	
っ	
た	
。	
１	
１	
０	
兆	
円	
あ	EVENT eid="e84" class="STATE"
る	
要	
注	
意	
先	
債	
権	
の	
中	
の	
問	
題	
大	
企	
業	
こ	
そ	
が	
不	
良	
債	
権	
問	
題	
の	
コ	
ア	
だ	
。	
平	EVENT eid="e85" class="NULL"
た	
く	
言	EVENT eid="e86" class="REPORTING"
え	
ば	
、	
少	
な	
く	
と	
も	
１	
０	
社	
か	
１	
５	
社	
、	
市	
場	
で	
喧	EVENT eid="e87" class="OCCURRENCE"
伝	
さ	
れ	
て	
い	
る	
問	
題	
企	
業	
に	
産	
業	
再	
生	
委	
が	
思	EVENT eid="e88" class="NULL"
い	
切	
っ	
た	
メ	
ス	
を	
入	EVENT eid="e89" class="OCCURRENCE"
れ	
、	
産	
業	
再	
編	
の	
具	
体	
像	
を	
示	EVENT eid="e90" class="OCCURRENCE"
す	
、	
そ	
れ	
に	
よ	
っ	
て	
日	
本	
が	
本	EVENT eid="e91" class="NULL"
格	
的	
に	
変	EVENT eid="e92" class="OCCURRENCE"
わ	
り	
始	
め	
た	
と	
い	
う	
シ	
グ	
ナ	
ル	
を	
市	
場	
に	
与	EVENT eid="e93" class="I_ACTION"
え	
る	
こ	
と	
が	
必	EVENT eid="e94" class="NULL"
要	
だ	
。	
―	
　	
企	
業	
の	
過	
剰	
債	
務	
の	
処	
理	
に	
は	
、	
金	
融	
機	
関	
の	
債	
権	
放	
棄	
が	
前	
提	
に	
な	EVENT eid="e95" class="NULL"
る	
。	
平	
成	
の	
「	
徳	
政	
令	
」	
に	
な	EVENT eid="e96" class="OCCURRENCE"
る	
恐	
れ	
は	
あ	EVENT eid="e97" class="STATE"
り	
ま	
せ	
ん	
か	
。	
◆	
　	
債	
務	
超	
過	
企	
業	
で	
あ	
れ	
ば	
原	
則	
１	
０	
０	
％	
の	
減	
資	
と	
経	
営	
者	
責	
任	
追	
及	
が	
必	
要	
と	
な	EVENT eid="e98" class="NULL"
る	
。	
メ	
ー	
ン	
バ	
ン	
ク	
側	
の	
貸	
手	
責	
任	
も	
追	EVENT eid="e99" class="OCCURRENCE"
及	
す	
る	
。	
公	
認	
会	
計	
士	
、	
弁	
護	
士	
、	
学	
者	
ら	
で	
構	EVENT eid="e100" class="NULL"
成	
す	
る	
産	
業	
再	
生	
委	
で	
実	
効	
性	
の	
高	EVENT eid="e101" class="NULL"
い	
債	
権	
放	
棄	
案	
を	
確	EVENT eid="e102" class="OCCURRENCE"
定	
し	
、	
問	
題	
企	
業	
の	
新	
旧	
分	
離	
処	
理	
を	
す	EVENT eid="e103" class="I_ACTION"
る	
。	
メ	
ー	
ン	
バ	
ン	
ク	
は	
企	
業	
の	
事	
業	
再	
編	
案	
（	
合	
併	
、	
営	
業	
譲	
渡	
、	
会	
社	
分	
割	
、	
資	
産	
売	
却	
な	
ど	
）	
を	
再	
生	
委	
に	
提	EVENT eid="e104" class="OCCURRENCE"
出	
し	
、	
同	
委	
が	
審	
査	
・	
判	
断	
を	
行	EVENT eid="e105" class="I_ACTION"
う	
。	
平	
時	
の	
体	
制	
、	
つ	
ま	
り	
裁	
判	
所	
に	
ま	EVENT eid="e106" class="OCCURRENCE"
か	
せ	
る	
と	
い	EVENT eid="e107" class="NULL"
う	
よ	
う	
な	
方	
法	
で	
は	
、	
こ	
の	
危	
機	
は	
乗	EVENT eid="e108" class="I_ACTION"
り	
切	
れ	
な	
い	
。	
―	
　	
賛	
同	
者	
は	
い	EVENT eid="e109" class="STATE"
ま	
す	
か	
。	
◆	
　	
私	
の	
提	
案	
は	
、	
徐	
々	
に	
だ	
が	
浸	EVENT eid="e110" class="I_ACTION"
透	
し	
つ	
つ	
あ	
る	
。	
経	
済	
財	
政	
諮	
問	
会	
議	
が	
ま	EVENT eid="e111" class="OCCURRENCE"
と	
め	
た	
基	
本	
方	
針	
（	
骨	EVENT eid="e112" class="NULL"
太	
の	
方	
針	
）	
に	
は	
、	
不	
良	
債	
権	
を	
低	
価	
格	
で	
買	EVENT eid="e113" class="NULL"
い	
取	
る	
「	
整	
理	
回	
収	
機	
構	
（	
Ｒ	
Ｃ	
Ｃ	
）	
」	
の	
積	
極	
活	
用	
の	
部	
分	
に	
「	
事	
業	
再	
構	
築	
を	
図	EVENT eid="e114" class="NULL"
る	
新	EVENT eid="e115" class="NULL"
た	
な	
機	
関	
を	
設	EVENT eid="e116" class="NULL"
置	
す	
る	
」	
と	
い	
う	
記	
述	
が	
あ	EVENT eid="e117" class="STATE"
り	
、	
そ	
れ	
を	
産	
業	
再	
生	
委	
と	
読	EVENT eid="e118" class="OCCURRENCE"
め	
な	
く	
も	
な	EVENT eid="e119" class="STATE"
い	
。	
Ｒ	
Ｃ	
Ｃ	
は	
実	
行	
部	
隊	
で	
、	
そ	
の	
ヘ	
ッ	
ド	
ク	
オ	
ー	
タ	
ー	
＝	
作	
戦	
本	
部	
と	
し	
て	
産	
業	
再	
生	
委	
を	
位	EVENT eid="e120" class="OCCURRENCE"
置	
付	
け	
る	
必	
要	
が	
あ	EVENT eid="e121" class="STATE"
る	
。	
―	
　	
し	
か	
し	
与	
党	
内	
で	
は	
危	
機	
認	
識	
は	
そ	
れ	
ほ	
ど	
強	EVENT eid="e122" class="NULL"
く	
は	
な	EVENT eid="e123" class="NONE"
い	
。	
◆	
　	
日	
本	
経	
済	
は	
、	
ち	
ょ	
っ	
と	
や	
そ	
っ	
と	
で	
は	
立	EVENT eid="e124" class="OCCURRENCE"
ち	
直	
れ	
な	
く	
な	EVENT eid="e125" class="I_ACTION"
る	
可	
能	
性	
が	
極	
め	
て	
強	EVENT eid="e126" class="NULL"
い	
。	
し	
か	
し	
残	EVENT eid="e127" class="NULL"
念	
な	
が	
ら	
、	
そ	
う	
し	EVENT eid="e128" class="NULL"
た	
危	
機	
認	
識	
が	
自	
民	
党	
内	
の	
多	
数	
意	
見	
に	
な	EVENT eid="e129" class="OCCURRENCE"
っ	
て	
い	
な	
い	
の	
は	
事	
実	
だ	
。	
総	
理	
ご	
自	
身	
の	
決	
断	
が	
大	EVENT eid="e130" class="NULL"
事	
だ	
が	
、	
政	
策	
の	
優	
先	
順	
位	
の	
付	
け	
方	
が	
総	
理	
の	
関	
心	
の	
枠	
内	
で	
付	EVENT eid="e131" class="OCCURRENCE"
け	
ら	
れ	
て	
い	
る	
気	
が	
す	EVENT eid="e132" class="I_STATE"
る	
。	
総	
理	
は	
事	
実	
上	
、	
竹	
中	
（	
平	
蔵	
・	
経	
済	
財	
政	
担	
当	
相	
）	
さ	
ん	
や	
柳	
沢	
（	
伯	
夫	
・	
金	
融	
担	
当	
相	
）	
さ	
ん	
に	
金	
融	
経	
済	
問	
題	
を	
丸	EVENT eid="e133" class="OCCURRENCE"
投	
げ	
し	
て	
い	
る	
。	
し	
か	
も	
閣	
内	
で	
意	
見	
が	
割	EVENT eid="e134" class="OCCURRENCE"
れ	
て	
い	
る	
か	
ら	
、	
な	
お	
さ	
ら	
厄	EVENT eid="e135" class="NULL"
介	
だ	
と	
思	EVENT eid="e136" class="I_STATE"
う	
。	
―	
　	
日	
銀	
の	
金	
融	
政	
策	
を	
ど	
う	
み	EVENT eid="e137" class="I_STATE"
ま	
す	
か	
。	
◆	
　	
バ	
ブ	
ル	
経	
済	
の	
崩	
壊	
で	
、	
日	
本	
の	
信	
用	
秩	
序	
は	
「	
土	
地	
本	
位	
制	
」	
か	
ら	
「	
国	
債	
本	
位	
制	
」	
に	
移	EVENT eid="e138" class="OCCURRENCE"
行	
し	
た	
。	
９	TIMEX3 definite="FALSE" valueFromSurface="XX99-01" tid="t8" type="DATE" value="1999-01"
９	
年	
１	
月	
に	
約	
３	
０	
兆	
円	
だ	
っ	
た	
銀	
行	
の	
国	
債	
保	
有	
残	
高	
は	
同	TIMEX3 mod="ON_OR_AFTER" definite="FALSE" valueFromSurface="XXXX-02" tid="t9" type="DATE" value="1999-02"
年	
２	
月	
以	
降	
増	
加	
の	
一	
途	
を	
た	EVENT eid="e139" class="I_ACTION"
ど	
り	
、	
今	TIMEX3 mod="END" definite="FALSE" valueFromSurface="XXXX-04" tid="t10" type="DATE" value="2001-04"
年	
４	
月	
末	
に	
は	
７	
９	
兆	
４	
０	
０	
０	
億	
円	
に	
ま	
で	
膨	EVENT eid="e140" class="OCCURRENCE"
ら	
ん	
だ	
。	
国	
債	
の	
信	
用	
低	
下	
は	
長	
期	
金	
利	
を	
押	EVENT eid="e141" class="OCCURRENCE"
し	
上	
げ	
、	
企	
業	
倒	
産	
を	
拡	EVENT eid="e142" class="I_ACTION"
大	
さ	
せ	
、	
不	
良	
債	
権	
を	
よ	
り	
巨	EVENT eid="e143" class="NULL"
額	
の	
も	
の	
に	
す	EVENT eid="e144" class="OCCURRENCE"
る	
。	
今	
や	
日	
銀	
は	
国	
債	
利	
回	
り	
（	
長	
期	
金	
利	
）	
を	
も	
金	
融	
調	
節	
の	
対	
象	
に	
せ	EVENT eid="e145" class="OCCURRENCE"
ざ	
る	
を	
得	
な	
く	
な	EVENT eid="e146" class="I_ACTION"
っ	
て	
い	
る	
。	
し	
か	
も	
、	
不	
良	
債	
権	
の	
最	
終	
処	
理	
と	
い	
う	
外	
科	
大	
手	
術	
を	
す	EVENT eid="e147" class="I_ACTION"
る	
に	
は	
大	EVENT eid="e148" class="NULL"
量	
の	
輸	
血	
が	
必	EVENT eid="e149" class="NULL"
要	
で	
、	
日	
銀	
は	
さ	
ら	
な	
る	
量	
的	
金	
融	
緩	
和	
に	
踏	EVENT eid="e150" class="I_ACTION"
み	
込	
ま	
な	
け	
れ	
ば	
な	
ら	
な	
い	
。	
今	TIMEX3 definite="TRUE" valueFromSurface="PRESENT_REF" tid="t11" type="DATE" value="PRESENT_REF"
の	
日	
銀	
は	
物	
価	
安	
定	
、	
信	
用	
秩	
序	
維	
持	
と	
言	EVENT eid="e151" class="I_ACTION"
い	
な	
が	
ら	
、	
本	
来	
任	
務	
を	
放	EVENT eid="e152" class="OCCURRENCE"
棄	
し	
て	
い	
る	
と	
言	EVENT eid="e153" class="REPORTING"
わ	
ざ	
る	
を	
得	
な	
い	
。	
物	
価	
や	
地	
価	
の	
数	
値	
安	
定	
目	
標	
を	
設	EVENT eid="e154" class="OCCURRENCE"
定	
し	
、	
そ	
の	
達	
成	
状	
況	
を	
国	
会	
に	
報	EVENT eid="e155" class="OCCURRENCE"
告	
す	
べ	
き	
だ	
。	
―	
　	
金	
融	
機	
関	
へ	
の	
公	
的	
資	
金	
再	
注	
入	
は	
必	EVENT eid="e156" class="NULL"
要	
で	
す	
か	
。	
◆	
　	
私	
は	
、	
不	
良	
債	
権	
処	
理	
と	
産	
業	
再	
生	
を	
セ	
ッ	
ト	
で	
行	EVENT eid="e157" class="I_STATE"
う	
ス	
キ	
ー	
ム	
作	
り	
の	
重	
要	
性	
を	
一	EVENT eid="e158" class="OCCURRENCE"
貫	
し	
て	
主	EVENT eid="e159" class="I_ACTION"
張	
し	
て	
き	
た	
。	
し	
か	
し	
、	
金	
融	
機	
関	
へ	
の	
公	
的	
資	
金	
再	
注	
入	
に	
つ	
い	
て	
は	
小	
泉	
内	
閣	
の	
中	
で	
も	
反	
対	
論	
が	
強	EVENT eid="e160" class="NULL"
く	
、	
担	
当	
大	
臣	
の	
柳	
沢	
さ	
ん	
は	
「	
モ	
ラ	
ル	
ハ	
ザ	
ー	
ド	
（	
倫	
理	
観	
の	
欠	
如	
）	
に	
な	EVENT eid="e161" class="OCCURRENCE"
る	
」	
と	
反	EVENT eid="e162" class="I_ACTION"
対	
し	
て	
い	
る	
。	
産	
業	
再	
生	
の	
た	
め	
の	
対	
策	
を	
打	EVENT eid="e163" class="OCCURRENCE"
ち	
出	
さ	
ず	
、	
金	
融	
機	
関	
に	
だ	
け	
公	
的	
資	
金	
を	
注	EVENT eid="e164" class="OCCURRENCE"
入	
す	
れ	
ば	
、	
確	EVENT eid="e165" class="NULL"
か	
に	
モ	
ラ	
ル	
ハ	
ザ	
ー	
ド	
に	
な	EVENT eid="e166" class="OCCURRENCE"
る	
。	
し	
か	
し	
、	
過	
剰	
債	
務	
業	
界	
の	
大	
再	
編	
と	
セ	
ッ	
ト	
で	
債	
権	
放	
棄	
を	
し	EVENT eid="e167" class="I_ACTION"
て	
資	
本	
不	
足	
に	
な	EVENT eid="e168" class="I_ACTION"
っ	
た	
銀	
行	
に	
、	
資	
本	
増	
強	
の	
た	
め	
公	
的	
資	
金	
（	
普	
通	
株	
）	
を	
注	EVENT eid="e169" class="OCCURRENCE"
入	
す	
る	
こ	
と	
は	
必	EVENT eid="e170" class="NULL"
要	
だ	
。	
そ	
れ	
は	
モ	
ラ	
ル	
ハ	
ザ	
ー	
ド	
で	
は	
な	
く	
、	
有	EVENT eid="e171" class="NULL"
効	
な	
リ	
ス	
ク	
マ	
ネ	
ジ	
メ	
ン	
ト	
（	
危	
機	
管	
理	
）	
に	
な	EVENT eid="e172" class="OCCURRENCE"
る	
。	
―	
　	
市	
場	
原	
理	
に	
よ	
る	
競	
争	
だ	
け	
で	
危	
機	
を	
乗	EVENT eid="e173" class="I_ACTION"
り	
切	
れ	
ま	
す	
か	
。	
◆	
　	
「	
普	
遍	
主	
義	
×	
原	
爆	
＝	
帝	
国	
主	
義	
」	
と	
い	
う	
公	
式	
が	
あ	EVENT eid="e174" class="NULL"
る	
が	
、	
私	
は	
「	
市	
場	
原	
理	
主	
義	
×	
デ	
リ	
バ	
テ	
ィ	
ブ	
（	
金	
融	
派	
生	
商	
品	
）	
＝	
金	
融	
帝	
国	
主	
義	
」	
に	
な	EVENT eid="e175" class="OCCURRENCE"
っ	
て	
し	
ま	
う	
こ	
と	
を	
恐	EVENT eid="e176" class="I_STATE"
れ	
る	
。	
帝	
国	
主	
義	
は	
、	
強	
者	
に	
よ	
る	
弱	
者	
の	
一	EVENT eid="e177" class="NULL"
方	
的	
な	
収	
奪	
だ	
。	
市	
場	
が	
疑	
心	
暗	
鬼	
に	
包	EVENT eid="e178" class="NULL"
ま	
れ	
て	
「	
ヤ	
マ	
タ	
ノ	
オ	
ロ	
チ	
」	
が	
暴	EVENT eid="e179" class="NULL"
れ	
ま	
く	
る	
こ	
と	
は	
多	EVENT eid="e180" class="NULL"
い	
。	
山	
一	
証	
券	
、	
北	
海	
道	
拓	
殖	
銀	
行	
シ	
ョ	
ッ	
ク	
が	
起	EVENT eid="e181" class="I_ACTION"
き	
た	
９	TIMEX3 definite="FALSE" valueFromSurface="XX97" tid="t12" type="DATE" value="1997"
７	
年	
、	
政	
府	
与	
党	
が	
財	
政	
改	
革	
と	
行	
政	
改	
革	
を	
思	EVENT eid="e182" class="I_STATE"
案	
す	
る	
中	
で	
、	
マ	
ー	
ケ	
ッ	
ト	
は	
パ	
ニ	
ッ	
ク	
を	
起	EVENT eid="e183" class="I_ACTION"
こ	
し	
た	
。	
大	
蔵	
・	
日	
銀	
の	
優	EVENT eid="e184" class="NULL"
秀	
な	
官	
僚	
が	
ス	
キ	
ャ	
ン	
ダ	
ル	
ま	
み	
れ	
に	
な	EVENT eid="e185" class="OCCURRENCE"
っ	
て	
い	
た	
。	
市	
場	
が	
失	EVENT eid="e186" class="OCCURRENCE"
敗	
し	
て	
い	
る	
時	
に	
政	
府	
は	
機	
能	
不	
全	
に	
陥	EVENT eid="e187" class="I_ACTION"
っ	
た	
。	
「	
ヤ	
マ	
タ	
ノ	
オ	
ロ	
チ	
」	
が	
暴	EVENT eid="e188" class="OCCURRENCE"
れ	
て	
い	
る	
時	
に	
、	
政	
府	
は	
「	
草	
薙	
の	
剣	
」	
を	
使	EVENT eid="e189" class="OCCURRENCE"
う	
こ	
と	
が	
で	
き	
な	
か	
っ	
た	
よ	
う	
な	
も	
の	
で	
す	
。	
そ	
し	
て	
危	
機	
は	
深	EVENT eid="e190" class="OCCURRENCE"
刻	
化	
し	
た	
。	
　	
戦	
後	
の	
世	
界	
経	
済	
は	
デ	
フ	
レ	
に	
な	EVENT eid="e191" class="OCCURRENCE"
ら	
な	
い	
