Ａ	
張	EVENT class="OCCURRENCE" eid="e39"
ら	
れ	
て	
い	
た	
。	
　	
そ	
れ	
な	
の	
に	
、	
池	
田	
先	
生	
は	
言	EVENT class="OCCURRENCE" eid="e40"
っ	
て	
く	
れ	
た	
の	
だ	
。	
「	
し	EVENT class="NULL" eid="e41"
ゃ	
べ	
る	
の	
が	
得	EVENT class="NULL" eid="e42"
意	
な	
ん	
だ	
か	
ら	
、	
能	
力	
を	
生	EVENT class="OCCURRENCE" eid="e43"
か	
し	
て	
み	
た	
ら	
」	
と	
、	
初	
め	
て	
「	
お	
し	
ゃ	
べ	
り	
」	
を	
評	EVENT class="I_ACTION" eid="e44"
価	
し	
て	
く	
れ	
た	
。	
ブ	
ラ	
ウ	
ン	
管	
の	
中	
で	
話	EVENT class="OCCURRENCE" eid="e45"
す	
な	
ん	
て	
、	
思	EVENT class="I_STATE" eid="e46"
っ	
て	
も	
み	EVENT class="NULL" eid="e47"
な	
い	
こ	
ろ	
だ	
っ	
た	
。	
　	
大	
学	
に	
進	EVENT class="OCCURRENCE" eid="e48"
学	
す	
る	
時	
も	
、	
「	
あ	
な	
た	
は	
論	EVENT class="NULL" eid="e49"
理	
的	
に	
考	EVENT class="NULL" eid="e50"
え	
る	
の	
が	
得	
意	
」	
と	
、	
法	
学	
部	
に	
行	EVENT class="OCCURRENCE" eid="e51"
く	
よ	
う	
促	EVENT class="I_ACTION" eid="e52"
し	
た	
の	
は	
池	
田	
先	
生	
。	
大	
学	
在	
学	
中	
に	
デ	EVENT class="OCCURRENCE" eid="e53"
ビ	
ュ	
ー	
し	
、	
キ	
ャ	
ス	
タ	
ー	
と	
し	
て	
活	EVENT class="OCCURRENCE" eid="e54"
躍	
す	
る	
そ	
の	
後	
の	
進	
路	
を	
思	EVENT class="I_STATE" eid="e55"
う	
に	
つ	EVENT class="NULL" eid="e56"
け	
、	
「	
本	
当	
に	
よ	
く	
見	EVENT class="OCCURRENCE" eid="e57"
て	
い	
て	
く	
れ	
た	
」	
と	
感	EVENT class="I_STATE" eid="e58"
謝	
す	
る	
。	
　	
池	
田	
先	
生	
も	
、	
蓮	
舫	
さ	
ん	
に	
ア	EVENT class="OCCURRENCE" eid="e59"
ド	
バ	
イ	
ス	
し	
た	
こ	
と	
を	
覚	EVENT class="I_STATE" eid="e60"
え	
て	
い	
た	
。	
「	
生	
意	
気	
と	
い	
う	
人	
も	
い	EVENT class="STATE" eid="e61"
た	
け	
れ	
ど	
、	
私	
は	
、	
彼	
女	
の	
よ	
う	
に	
モ	
ノ	
を	
は	
っ	
き	
り	
言	EVENT class="STATE" eid="e62"
え	
る	
こ	
と	
が	
こ	
れ	
か	
ら	
は	
大	EVENT class="NULL" eid="e63"
切	
だ	
と	
思	EVENT class="I_STATE" eid="e64"
っ	
て	
い	
ま	
し	
た	
」	
。	
ひ	
と	
き	
わ	
元	EVENT class="NULL" eid="e65"
気	
だ	
っ	
た	
教	
え	
子	
に	
、	
「	
持	
ち	
前	
の	
才	
能	
を	
生	EVENT class="OCCURRENCE" eid="e66"
か	
し	
て	
い	
っ	
て	
ほ	
し	
い	
」	
と	
エ	
ー	
ル	
を	
送	EVENT class="OCCURRENCE" eid="e67"
る	
。	
　	
（	
古	
沢	
　	
由	
紀	
子	
）	
池	
田	
弘	
子	
さ	
ん	
★	
１	TIMEX3 definite="FALSE" valueFromSurface="XXXX-XX-17" type="DATE" value="2001-02-17" tid="t6"
７	
日	
に	
Ｎ	
Ｉ	
Ｅ	
講	
習	
会	
　	
中	
学	
校	
教	
員	
を	
対	
象	
に	
Ｎ	
Ｉ	
Ｅ	
（	
教	
育	
に	
新	
聞	
を	
）	
活	
動	
の	
実	
践	
例	
を	
報	EVENT class="OCCURRENCE" eid="e68"
告	
し	
、	
活	
用	
に	
役	EVENT class="I_ACTION" eid="e69"
立	
て	
る	
「	
第	
７	
回	
Ｎ	
Ｉ	
Ｅ	
講	
習	
会	
」	
が	
１	TIMEX3 definite="FALSE" valueFromSurface="XXXX-XX-17T14:30" type="DATE" value="2001-02-17T14:30" tid="t7"
７	
日	
午	
後	
２	
時	
３	
０	
分	
か	
ら	
、	
東	
京	
・	
内	
幸	
町	
の	
日	
本	
プ	
レ	
ス	
セ	
ン	
タ	
ー	
で	
開	EVENT class="I_ACTION" eid="e70"
催	
さ	
れ	
る	
。	
入	
場	
無	
料	
。	
問	
い	
合	
わ	
せ	
は	
東	
京	
都	
Ｎ	
Ｉ	
Ｅ	
推	
進	
協	
議	
会	
（	
電	
０	
３	
・	
３	
５	
９	
１	
・	
４	
７	
６	
０	
）	
へ	
。	
★	
学	
童	
保	
育	
の	
電	
話	
相	
談	
　	
学	
童	
保	
育	
の	
全	
国	
組	
織	
、	
全	
国	
学	
童	
保	
育	
連	
絡	
協	
議	
会	
が	
１	TIMEX3 definite="FALSE" valueFromSurface="XXXX-XX-17" type="DATE" value="2001-02-17" tid="t8"
７	
、	
１	TIMEX3 definite="FALSE" valueFromSurface="XXXX-XX-18" type="DATE" value="2001-02-18" tid="t9"
８	
日	
、	
電	
話	
相	
談	
を	
行	EVENT class="I_ACTION" eid="e71"
う	
。	
利	
用	
者	
の	
相	
談	
に	
乗	EVENT class="I_ACTION" eid="e72"
り	
、	
要	
望	
も	
集	EVENT class="OCCURRENCE" eid="e73"
め	
厚	
生	
労	
働	
省	
に	
届	EVENT class="OCCURRENCE" eid="e74"
け	
る	
。	
午	TIMEX3 definite="FALSE" valueFromSurface="XXXX-XX-XXT10" type="TIME" value="2001-02-1[78]T10" tid="t10"
前	
１	
０	
時	
か	
ら	
午	TIMEX3 definite="FALSE" valueFromSurface="XXXX-XX-XXT19" type="TIME" value="2001-02-1[78]T19" tid="t11"
後	
７	
時	
ま	
で	
。	
電	
０	
３	
・	
３	
８	
１	
３	
・	
０	
４	
７	
７	
、	
３	
８	
１	
３	
・	
５	
８	
８	
１	
へ	
。	
★	
不	
登	
校	
な	
ど	
で	
も	
　	
不	
登	
校	
や	
高	
校	
中	
退	
な	
ど	
の	
問	
題	
に	
取	EVENT class="I_ACTION" eid="e75"
り	
組	
ん	
で	
い	
る	
田	
口	
教	
育	
研	
究	
所	
は	
２	TIMEX3 definite="FALSE" valueFromSurface="XXXX-XX-26" type="DATE" value="2001-02-26" tid="t12"
６	
日	
―	
３	TIMEX3 definite="FALSE" valueFromSurface="XXXX-03-09" type="DATE" value="2001-03-09" tid="t13"
月	
９	
日	
の	
間	
（	
土	TIMEX3 definite="TRUE" valueFromSurface="XXXX-WXX-6" type="DATE" value="XXXX-WXX-6" tid="t14"
、	
日	TIMEX3 definite="TRUE" valueFromSurface="XXXX-WXX-7" type="DATE" value="XXXX-WXX-7" tid="t15"
は	
除	EVENT class="NULL" eid="e76"
く	
）	
、	
電	
話	
相	
談	
に	
応	EVENT class="I_ACTION" eid="e77"
じ	
る	
。	
