■	
が	
続	EVENT class="ASPECTUAL" eid="e22"
く	
見	
通	
し	
。	
同	
社	
は	
新	
興	
企	
業	
へ	
の	
積	
極	
投	
資	
を	
通	EVENT class="NULL" eid="e23"
じ	
た	
拡	
大	
路	
線	
か	
ら	
、	
ブ	
ロ	
ー	
ド	
バ	
ン	
ド	
事	
業	
に	
特	EVENT class="OCCURRENCE" eid="e24"
化	
し	
て	
業	
績	
改	
善	
を	
図	EVENT class="I_ACTION" eid="e25"
っ	
て	
い	
る	
が	
、	
ベ	
ン	
チ	
ャ	
ー	
の	
旗	
手	
の	
「	
再	
生	
」	
に	
は	
時	
間	
が	
か	EVENT class="OCCURRENCE" eid="e26"
か	
り	
そ	
う	
だ	
。	
　	
記	EVENT class="OCCURRENCE" eid="e27"
者	
会	
見	
し	
た	
孫	
正	
義	
社	
長	
は	
、	
「	
赤	
字	
は	
主	
力	
事	
業	
へ	
の	
先	
行	
投	
資	
が	
要	
因	
で	
あ	
り	
、	
〇	TIMEX3 type="DATE" value="FY2003" tid="t12" definite="FALSE" valueFromSurface="FYXX03"
三	
年	
度	
に	
は	
か	EVENT class="NULL" eid="e28"
な	
り	
の	
好	
転	
が	
期	EVENT class="I_STATE" eid="e29"
待	
で	
き	
る	
」	
と	
述	EVENT class="REPORTING" eid="e30"
べ	
た	
。	
　	
〇	TIMEX3 type="DATE" value="2002-09" tid="t13" definite="FALSE" valueFromSurface="XX02-09"
二	
年	
九	
月	
中	
間	
期	
は	
、	
売	
上	
高	
が	
Ａ	
Ｄ	
Ｓ	
Ｌ	
（	
非	
対	
称	
デ	
ジ	
タ	
ル	
加	
入	
者	
線	
）	
を	
使	EVENT class="NULL" eid="e31"
っ	
た	
ブ	
ロ	
ー	
ド	
バ	
ン	
ド	
事	
業	
へ	
の	
加	
入	
者	
が	
増	EVENT class="OCCURRENCE" eid="e32"
え	
た	
た	
め	
、	
前	TIMEX3 type="DATE" value="2001" tid="t14" definite="FALSE" valueFromSurface="XXXX"
年	
同	
期	
比	
４	
．	
２	
％	
増	
の	
千	
九	
百	
十	
億	
円	
と	
な	EVENT class="OCCURRENCE" eid="e33"
っ	
た	
。	
し	
か	
し	
、	
粗	
利	
益	
が	
百	
三	
十	
八	
億	
円	
に	
と	EVENT class="OCCURRENCE" eid="e34"
ど	
ま	
っ	
た	
一	
方	
、	
販	
売	
促	
進	
費	
を	
四	
百	
五	
十	
億	
円	
計	EVENT class="OCCURRENCE" eid="e35"
上	
し	
た	
結	
果	
、	
営	
業	
赤	
字	
に	
な	EVENT class="OCCURRENCE" eid="e36"
っ	
た	
。	
安	
値	
攻	
勢	
で	
加	
入	
者	
を	
伸	EVENT class="OCCURRENCE" eid="e37"
ば	
し	
た	
が	
、	
利	
益	
の	
出	EVENT class="NULL" eid="e38"
る	
事	
業	
構	
造	
に	
は	
な	EVENT class="OCCURRENCE" eid="e39"
っ	
て	
い	
な	
い	
こ	
と	
が	
浮	EVENT class="OCCURRENCE" eid="e40"
か	
び	
上	
が	
っ	
た	
。	
　	
営	
業	
外	
で	
は	
、	
為	
替	
差	
損	
な	
ど	
の	
損	
失	
を	
計	
二	
百	
二	
億	
円	
計	EVENT class="OCCURRENCE" eid="e41"
上	
し	
た	
ほ	
か	
、	
株	
安	
で	
総	
額	
五	
百	
八	
十	
五	
億	
円	
も	
の	
特	
別	
損	
失	
が	
発	
生	
。	
米	
国	
の	
ヤ	
フ	
ー	
株	
な	
ど	
有	
価	
証	
券	
の	
売	
却	
で	
計	
五	
百	
十	
一	
億	
円	
の	
特	
別	
利	
益	
を	
計	EVENT class="OCCURRENCE" eid="e42"
上	
し	
た	
が	
、	
埋	EVENT class="OCCURRENCE" eid="e43"
め	
切	
れ	
な	
か	
っ	
た	
。	
競	
争	
激	
化	
　	
事	
業	
運	
営	
綱	
渡	
り	
　	
【	
解	
説	
】	
ソ	
フ	
ト	
バ	
ン	
ク	
が	
九	TIMEX3 type="DATE" value="2002-09" tid="t15" definite="FALSE" valueFromSurface="XXXX-09"
月	
中	
間	
連	
結	
決	
算	
で	
五	
百	
五	
十	
八	
億	
円	
も	
の	
純	
損	
失	
を	
計	EVENT class="OCCURRENCE" eid="e44"
上	
し	
た	
背	
景	
に	
は	
、	
本	
業	
の	
Ａ	
Ｄ	
Ｓ	
Ｌ	
（	
非	
対	
称	
デ	
ジ	
タ	
ル	
加	
入	
者	
線	
）	
事	
業	
で	
百	
二	
十	
万	
人	
も	
の	
会	
員	
を	
得	EVENT class="NULL" eid="e45"
な	
が	
ら	
、	
い	
ま	
だ	
に	
赤	
字	
が	
続	EVENT class="ASPECTUAL" eid="e46"
い	
て	
い	
る	
と	
の	
事	
情	
が	
あ	EVENT class="STATE" eid="e47"
る	
。	
米	
ヤ	
フ	
ー	
株	
の	
売	
却	
な	
ど	
で	
資	
金	
を	
ひ	EVENT class="OCCURRENCE" eid="e48"
ね	
り	
出	
し	
、	
な	
り	
ふ	
り	
構	EVENT class="NULL" eid="e49"
わ	
ぬ	
販	
売	
攻	
勢	
を	
か	EVENT class="I_ACTION" eid="e50"
け	
る	
な	
ど	
、	
綱	
渡	
り	
の	
事	
業	
運	
営	
を	
迫	EVENT class="I_ACTION" eid="e51"
ら	
れ	
て	
い	
る	
。	
